táimid	ˈt̪ˠɑːmʲədʲ
cé	ceː
fadhb	fˠəibˠ
molas	ˈmˠɔlˠəsˠ
dide	ˈdʲɪdʲə
pé	pʲeː
dhúinne	ˈɣuːn̠ʲə
té	tʲeː
oide	ˈedʲə
badhb	bˠəibˠ
sé	ʃeː
ainneoin	ˈan̠ʲoːnʲ
saora	ˈsˠiːɾˠə
beirir	ˈbʲɛɾʲɪɾʲ
dílis	ˈdʲiːlʲəʃ
deirir	ˈdʲɛɾʲəɾʲ
fheictear	ˈɛctʲəɾˠ
Árannach	ˈɑːɾˠən̪ˠəx
triantán	ˈtʲɾʲiən̪ˠt̪ˠɑːnˠ
múinteoirí	ˈmˠuːn̠ʲtʲoːɾʲiː
feag	fʲaɡ
pota	ˈpˠɔt̪ˠə
cúramach	ˈkuːɾˠəmˠəx
deora	ˈdʲoːɾˠə
chualas	ˈxuəlˠəsˠ
leag	l̠ʲaɡ
iomlán	ˈʊmˠlˠɑːnˠ
dúideanna	ˈd̪ˠuːdʲən̪ˠə
Franca	ˈfˠɾˠaŋkə
mhóra	ˈwoːɾˠə
beag	bʲɞɡ
chuathas	ˈxuəhəsˠ
smigín	ˈsˠmʲɪɟiːnʲ
ríoga	ˈɾˠiːɡə
drabhlás	ˈd̪ˠɾˠəulˠɑːsˠ
pionta	ˈpʲɪn̪ˠt̪ˠə
tóin	t̪ˠoːnʲ
mionta	ˈmʲɪn̪ˠt̪ˠə
chóra	ˈxoːɾˠə
bhf	vʲ
Dé	dʲeː
Bé	bʲeː
lus	l̪ˠʊsˠ
goileann	ˈɡɛlʲən̪ˠ
pus	pˠʊsˠ
ríogach	ˈɾˠiːɡəx
chósta	ˈxoːsˠt̪ˠə
líofa	ˈl̠ʲiːfˠə
gus	ɡʊsˠ
dúiche	ˈd̪ˠuːçə
sorcas	ˈsˠɔɾˠkəsˠ
Cathal	ˈkahəlˠ
goba	ˈɡɔbˠə
eif	ɛfʲ
séabraí	ˈʃeːbˠɾˠiː
reachtach	ˈɾˠaxt̪ˠəx
urchar	ˈʊɾˠəxəɾˠ
ghliocacht	ˈjlʲɪkəxt̪ˠ
fíona	ˈfʲiːn̪ˠə
coscair	ˈkɔsˠkəɾʲ
ásc	ɑːsˠk
líonra	ˈlʲiːn̪ˠɾˠə
míosa	ˈmʲiːsˠə
dúbail	ˈd̪ˠuːbˠəlʲ
gcaoga	ˈɡiːɡə
shíolmhar	ˈhiːl̪ˠwəɾˠ
muise	ˈmˠɪʃə
duilleach	ˈd̪ˠɪl̠ʲəx
Uíbh	iːvʲ
tostad	ˈt̪ˠɔsˠt̪ˠəd̪ˠ
bhreab	vʲɾʲabˠ
faoi deara	fˠiːˈdʲaɾˠə
caora	ˈkiːɾˠə
beirim	ˈbʲɛɾʲəmʲ
deirim	ˈdʲɛɾʲəmʲ
beimid	ˈbʲɛmʲədʲ
stáca	ˈsˠt̪ˠɑːkə
chath	xah
lúbaim	ˈl̪ˠuːbˠəmʲ
déantar	ˈdʲeːn̪ˠt̪ˠəɾˠ
bhlas	vˠlˠasˠ
tosta	ˈt̪ˠɔsˠt̪ˠə
Pheadar	ˈfʲad̪ˠəɾˠ
rosta	ˈɾˠosˠt̪ˠə
hInis Meáin	ˌhɪnʲəʃ ˈmʲɑːnʲ
posta	ˈpˠɔsˠt̪ˠə
Cáisc	kɑːʃc
dhuine	ˈɣɪnʲə
dlíthiúil	ˈdʲlʲiːhuːlʲ
siúinéaracht	ˈʃuːnʲeːɾˠəxt̪ˠ
bhíodar	ˈvʲiːd̪ˠəɾˠ
crotal	ˈkɾˠɔt̪ˠəlˠ
ofráil	ˈɔfˠɾˠɑːlʲ
aosta	ˈiːsˠt̪ˠə
dhochtúir	ˈɣɔxt̪ˠuːɾʲ
téite	ˈtʲeːtʲə
ceacht	caxt̪ˠ
beacht	bʲaxt̪ˠ
ghrúdlann	ˈɣɾˠuːd̪ˠlˠən̪ˠ
feacht	fʲaxt̪ˠ
liath	l̠ʲiə
colgach	ˈkolˠəɡəx
bhfuil	wɪlʲ
stoca	ˈsˠt̪ˠɔkə
airgid	ˈaɾʲəɟədʲ
itear	ˈɪtʲəɾˠ
dóimid	ˈd̪ˠoːmʲədʲ
éigint	ˈeːɟɪn̠ʲtʲ
fear céile	fʲaɾˠ ˈceːlʲə
fág	fˠɑːɡ
gág	ɡɑːɡ
nglas	ŋlˠasˠ
dtír	dʲiːɾʲ
tuama	ˈt̪ˠuəmˠə
leacht	l̠ʲaxt̪ˠ
uasal	ˈuəsˠəlˠ
seacht	ʃaxt̪ˠ
reacht	ɾˠaxt̪ˠ
moltaí	ˈmˠɔl̪ˠt̪ˠiː
teacht	tʲaxt̪ˠ
múinte	ˈmˠuːn̠ʲtʲə
canta	ˈkan̪ˠt̪ˠə
néalach	ˈn̠ʲeːlˠəx
nócha	ˈn̪ˠoːxə
ró-	ɾˠoː
lochán	ˈl̪ˠɔxɑːnˠ
á	ɑː
cúige	ˈkuːɟɪ
peacaí	ˈpʲakiː
leáis	l̠ʲɑːʃ
charria	ˈxaɾˠiə
áinsí	ˈaːn̠ʲʃiː
mbanc	mˠaŋk
abrann	ˈabˠɾˠən̪ˠ
ndolaí	ˈn̪ˠɔlˠiː
eachtra	ˈaxt̪ˠɾˠə
oide faoistine	ˈɛdʲə ˈfˠiːʃtʲənʲə
maithe	ˈmˠahə
dócha	ˈd̪ˠoːxə
cochán	ˈkɔxɑːnˠ
troda	ˈt̪ˠɾˠɔd̪ˠə
lochtanna	ˈl̪ˠɔxt̪ˠən̪ˠə
léite	ˈl̠ʲeːtʲə
ngrian	ɲɾʲiənˠ
cuairt	kuəɾˠtʲ
buairt	bˠuəɾˠtʲ
féan	fʲeːnˠ
fial	fʲiəlˠ
léann	l̠ʲeːn̪ˠ
sinsear	ˈʃɪn̠ʲʃəɾˠ
batar	ˈbˠat̪ˠəɾˠ
cúis	kuːʃ
iarann	ˈiəɾˠən̪ˠ
séan	ʃeːnˠ
cláiríneach	ˈklˠɑːɾʲiːnʲəx
Rúis	ɾˠuːʃ
tógáil	ˈt̪ˠoːɡɑːlʲ
breactar	ˈbʲɾʲakt̪ˠəɾˠ
ghlactaí	ˈɣlˠakt̪ˠiː
caogaidí	ˈkiːɡədʲiː
chaoga	ˈxiːɡə
chruinne	ˈxɾˠɪn̠ʲə
ciseal	ˈcɪʃəlˠ
rógánta	ˈɾˠoːɡɑːn̪ˠt̪ˠə
úd	uːd̪ˠ
eitim	ˈɛtʲəmʲ
fhear	aɾˠ
dhochtúirí	ˈɣɔxt̪ˠuːɾʲiː
guidid	ˈɡɪdʲədʲ
abhras	ˈəuɾˠəsˠ
réam	ɾˠeːmˠ
buaileann	ˈbˠuəlʲən̪ˠ
troigh	t̪ˠɾˠɔ
hainmneacha	ˈhanʲəmʲnʲəxə
túis	t̪ˠuːʃ
lúb	l̪ˠuːbˠ
Meiriceá	ˈmʲɛɾʲəcɑː
dheinim	ˈjɛnʲɪmʲ
Ó Cathain	oː ˈkahənʲ
uasghrádaigh	ˈuəsˠɣɾˠɑːd̪ˠə
buin	bˠɪnʲ
fuin	fˠɪnʲ
crosán	ˈkɾˠɔsˠɑːnˠ
airím	ˈaɾʲiːmʲ
nGréigis	ˈɲɾʲeːɟɪʃ
lúibín	ˈl̪ˠuːbʲiːnʲ
féachaint	ˈfʲeːxɪn̠ʲtʲ
clár	klˠɑːɾˠ
deirtí	ˈdʲɛɾʲtʲiː
draoi	d̪ˠɾˠiː
rúibín	ˈɾˠuːbʲiːnʲ
giús	ɟuːsˠ
dheineann	ˈjɪnʲən̪ˠ
miotal	ˈmʲɪt̪ˠəlˠ
eang	aŋ
bearach	ˈbʲaɾˠəx
diúracas	ˈdʲuːɾˠəkəsˠ
sciath	ʃciə
inste	ˈɪn̠ʲʃtʲə
cirt	cɪɾˠtʲ
ofrálacha	ˈɔfˠɾˠɑːlˠəxə
lasa	ˈl̪ˠasˠə
siúlóid	ˈʃuːlˠoːdʲ
basa	ˈbˠasˠə
plátaí	ˈpˠlˠɑːt̪ˠiː
ghlinne	ˈjlʲin̠ʲə
cuan	kuən̪ˠ
duan	d̪ˠuənˠ
Beannchar	ˈbʲan̪ˠəxəɾˠ
mósáic	ˈmˠoːsˠɑːc
freisin	ˈfʲɾʲɛʃənʲ
optach	ˈɔpˠt̪ˠəx
rite	ˈɾˠɪtʲə
ait	atʲ
pite	ˈpʲɪtʲə
nite	ˈnʲɪtʲə
lite	ˈl̠ʲɪtʲə
ochtar	ˈɔxt̪ˠəɾˠ
muirir	ˈmˠɪɾʲəɾʲ
tite	ˈtʲɪtʲə
tit	tʲɪtʲ
Máiréad	ˈmˠɑːɾʲeːd̪ˠ
ghlic	jlʲɪc
eite	ˈɛtʲə
fite	ˈfʲɪtʲə
dteorainneacha	ˈdʲoːɾˠən̠ʲəxə
ar son	ɛɾʲˈsˠɔnˠ
loca	ˈl̪ˠɔkə
dos	d̪ˠɔsˠ
gos	ɡɔsˠ
fos	fˠɔsˠ
ópalach	ˈoːpˠəlˠəx
rinneas	ˈɾˠɪn̠ʲəsˠ
prátaí	ˈpˠɾˠɑːt̪ˠiː
tinneas	ˈtʲɪn̠ʲəsˠ
haicme	ˈhacmʲə
dúch	d̪ˠuːx
giúis	ɟuːʃ
scréach	ʃcɾʲeːx
cistine	ˈcɪʃtʲɪnʲə
cearta	ˈcaɾˠt̪ˠə
bheireann	ˈvʲɛɾʲən̪ˠ
múch	mˠuːx
aos	iːsˠ
spealadóir	ˈsˠpʲalˠəd̪ˠoːɾʲ
iompar	ˈʊmˠpˠəɾˠ
feasta	ˈfʲasˠt̪ˠə
dúid	d̪ˠuːdʲ
láma	ˈl̪ˠɑːmˠə
bpáistí	ˈbˠɑːʃtʲiː
tráchtaigí	ˈt̪ˠɾˠɑːxt̪ˠəɟiː
bristear	ˈbʲɾʲɪʃtʲəɾˠ
smigead	ˈsˠmʲɪɟəd̪ˠ
práis	pˠɾˠɑːʃ
tuiscint	ˈt̪ˠɪʃcɪn̠ʲtʲ
péinteáil	ˈpʲeːn̠ʲtʲɑːlʲ
tógaim	ˈt̪ˠoːɡəmʲ
ód	oːd̪ˠ
mhóir	woːɾʲ
mhuiníl	ˈwɪnʲiːlʲ
thóir	hoːɾʲ
corpartha	ˈkɔɾˠpˠəɾˠə
phinc	fʲɪɲc
thuigeas	ˈhɪɟəsˠ
ceimic	ˈcɛmʲɪc
tharta	ˈhaɾˠt̪ˠə
diúca	ˈdʲuːkə
íochtar	ˈiːxt̪ˠəɾˠ
cultúr	ˈkʊl̪ˠt̪ˠuːɾˠ
chóir	xoːɾʲ
gliú	ɟlʲuː
liacht	l̠ʲiəxt̪ˠ
héisc	heːʃc
Chásca	ˈxɑːsˠkə
íobairt	ˈiːbˠəɾˠtʲ
gob	ɡɔbˠ
díolann	ˈdʲiːlˠən̪ˠ
chúrsa	ˈxuːɾˠsˠə
scrúdú	ˈsˠkɾˠuːd̪ˠuː
ain-	anʲ
chuairt	xuəɾˠtʲ
chama	ˈxamˠə
bhanc	waŋk
ciardhuibhe	ˈciəɾˠɣɪvʲə
cíor	ciːɾˠ
féin-	fʲeːnʲ
níor	n̠ʲiːɾˠ
domasach	ˈd̪ˠʊmˠəsˠəx
cuisneoir	ˈkɪʃnʲoːɾʲ
Luan	l̪ˠuənˠ
caogad	ˈkiːɡəd̪ˠ
trácht	t̪ˠɾˠɑːxt̪ˠ
ngort	ŋɔɾˠt̪ˠ
leithid	ˈl̠ʲɛhədʲ
saoileann	ˈsˠiːlʲən̪ˠ
síolmhar	ˈʃiːl̪ˠwəɾˠ
beannú	ˈbʲan̪ˠuː
gruaig	ɡɾˠuəɟ
bróin	bˠɾˠoːnʲ
féadaim	ˈfʲeːd̪ˠəmʲ
scríofa	ˈʃcɾʲiːfˠə
tigeann	ˈtʲɪɟən̪ˠ
reicteam	ˈɾˠɛctʲəmˠ
ligeann	ˈl̠ʲɪɟən̪ˠ
cúigear	ˈkuːɟəɾˠ
eil	ɛlʲ
flaitheas	ˈfˠlˠahəsˠ
gil	ɟɪlʲ
reic	ɾˠɛc
seic	ʃɛc
mil	mʲɪlʲ
feic	fʲɛc
oil	ɛlʲ
hait	hatʲ
phlainc	fˠlˠaɲc
sléibhe	ˈʃlʲeːvʲə
sil	ʃɪlʲ
Ó	oː
hat	hat̪ˠ
drúis	d̪ˠɾˠuːʃ
glan	ɡlˠanˠ
ndochtúirí	ˈn̪ˠɔxt̪ˠuːɾʲiː
ail	alʲ
fuacht	fˠuəxt̪ˠ
carbaid	ˈkaɾˠəbˠədʲ
muileann	ˈmˠɪlʲən̪ˠ
spréach	sˠpʲɾʲeːx
iarthar	ˈiəɾˠhəɾˠ
iaguar	ˈiəɡuəɾˠ
uisinn	ˈɪʃən̠ʲ
gcolanna	ˈɡɔlˠən̪ˠə
breoiteacht	ˈbʲɾʲoːtʲəxt̪ˠ
danartha	ˈd̪ˠan̪ˠəɾˠə
crágach	ˈkɾˠɑːɡəx
coinneal	ˈkɪn̠ʲəlˠ
titim	ˈtʲitʲəmʲ
fhreagair	ˈɾʲaɡəɾʲ
caobach	ˈkiːbˠəx
grásta	ˈɡɾˠɑːsˠt̪ˠə
éiligh	ˈeːlʲiː
cluais	klˠuəʃ
tús	t̪ˠuːsˠ
gluais	ɡlˠuəʃ
giorria	ˈɟɪɾˠiə
mainicín	ˈmˠanʲɪciːnʲ
Gaeltacht	ˈɡeːl̪ˠt̪ˠəxt̪ˠ
sealadach	ˈʃalˠəd̪ˠəx
chaoil	xiːlʲ
mhic	vʲɪc
triuf	tʲɾʲʊfˠ
glac	ɡlˠak
reabab	ˈɾˠabˠəbˠ
bhfolach	ˈwɔlˠəx
madraí	ˈmˠad̪ˠɾˠiː
riarann	ˈɾˠiəɾˠən̪ˠ
cnáibe	ˈkɾˠɑːbʲə
lúfar	ˈl̪ˠuːfˠəɾˠ
éan	eːnˠ
ngoba	ˈŋɔbˠə
cuiscreach	ˈkɪʃcɾʲəx
mhil	vʲɪlʲ
beorach	ˈbʲoːɾˠəx
chic	çɪc
mhaoil	wiːlʲ
dola	ˈd̪ˠɔlˠə
fola	ˈfˠɔlˠə
gola	ˈɡɔlˠə
mola	ˈmˠɔlˠə
údarás	ˈuːd̪ˠəɾˠɑːsˠ
buaine	ˈbˠuənʲə
neide	ˈn̠ʲɛdʲə
catachas	ˈkɑt̪ˠəxəsˠ
Eanáir	ˈan̪ˠɑːɾʲ
fhuilimid	ˈɪlʲəmʲədʲ
mam	mˠamˠ
ime	ˈimʲə
náisiún	ˈn̪ˠɑːʃuːnˠ
crosáil	ˈkɾˠɔsˠɑːlʲ
choillte	ˈxɞl̠ʲtʲə
ceannann	ˈcan̪ˠən̪ˠ
dáta	ˈd̪ˠɑːt̪ˠə
Dé hAoine	dʲeː ˈhiːnʲə
drochaoibh	ˈd̪ˠɾˠɔxiːvʲ
bríste	ˈbʲɾʲiːʃtʲə
hár	hɑːɾˠ
fual	fˠuəlˠ
gual	ɡuəlˠ
dár	d̪ˠɑːɾˠ
bhfeice	ˈvʲɛcɪ
meil	mʲelʲ
dual	d̪ˠuəlˠ
peil	pʲɛlʲ
seisiún	ˈʃɛʃuːnˠ
tada	ˈt̪ˠad̪ˠə
deil	dʲɛlʲ
ceil	cɛlʲ
craic	kɾˠac
feil	fʲɛlʲ
neoin	n̠ʲoːnʲ
siabann	ˈʃiəbˠən̪ˠ
cúthalta	ˈkuːhəl̪ˠt̪ˠə
ham	hamˠ
caorthann	ˈkiːɾˠhən̪ˠ
cláirseacha	ˈklˠɑːɾˠʃəxə
freastalaí	ˈfʲɾʲasˠt̪ˠəlˠiː
sciorta	ˈʃcɪɾˠt̪ˠə
sár	sˠɑːɾˠ
nár	n̪ˠɑːɾˠ
gámaí	ˈɡɑːmˠiː
lár	l̪ˠɑːɾˠ
cosa	ˈkɔsˠə
aosa	ˈiːsˠə
beocha	ˈbʲoːxə
seisean	ˈʃɛʃənˠ
chorp	xɔɾˠpˠ
corrán	ˈkɔɾˠɑːnˠ
Giúdach	ˈɟuːd̪ˠəx
sceideal	ˈʃcɛdʲəlˠ
teocha	ˈtʲoːxə
starr	sˠt̪ˠaːɾˠ
caifé	ˈkafʲeː
iascaire	ˈiəsˠkəɾʲə
lách	l̪ˠɑːx
bhfear	vʲaɾˠ
sách	sˠɑːx
amadán	ˈamˠəd̪ˠaːnˠ
trasna	ˈt̪ˠɾˠasˠn̪ˠə
bhídís	ˈvʲiːdʲiːʃ
chéanna	ˈçeːn̪ˠə
amais	ˈamˠəʃ
ríse	ˈɾˠiːʃə
théas	heːsˠ
gada	ˈɡad̪ˠə
Rosa	ˈɾˠɔsˠə
pianta	ˈpʲiən̪ˠt̪ˠə
seachain	ˈʃaxənʲ
dhíolamar	ˈjiːlˠəmˠəɾˠ
galán	ˈɡalˠɑːnˠ
Iacób	ˈiəkoːbˠ
dada	ˈd̪ˠad̪ˠə
móil	mˠoːlʲ
muca	ˈmˠʊkə
dhe	jɛ
cúl	kuːlˠ
chualamar	ˈxuəlˠəmˠəɾˠ
silín	ˈʃɪlʲiːnʲ
staileanna	ˈsˠt̪ˠalʲən̪ˠə
fusa	ˈfˠʊsˠə
raimhre	ˈɾˠavʲɾʲə
maoin	mˠiːnʲ
pusa	ˈpˠʊsˠə
tríd	tʲɾʲiːdʲ
tusa	ˈt̪ˠʊsˠə
caoin	kiːnʲ
scóir	sˠkoːɾʲ
déistin	ˈdʲeːʃtʲənʲ
poipín	ˈpˠɛpʲiːnʲ
fríd	fʲɾʲiːdʲ
lile	ˈl̠ʲɪlʲə
eile	ˈɛlʲə
file	ˈfʲɪlʲə
the	hɛ
crochta	ˈkɾˠɔxt̪ˠə
bile	ˈbʲɪlʲə
cliath	clʲiə
dile	ˈdʲilʲə
pracar	ˈpˠɾˠakəɾˠ
thír	hiːɾʲ
pince	ˈpʲɪɲcɪ
scil	ʃcɪlʲ
glais	ɡlˠaʃ
clais	klˠaʃ
blais	bˠlˠaʃ
tuigeann	ˈt̪ˠɪɟən̪ˠ
scata	ˈsˠkat̪ˠə
gcoillte	ˈɡɞl̠ʲtʲə
bhflatha	ˈwlˠahə
faocha	ˈfˠiːxə
tóga	ˈt̪ˠoːɡə
coileach	ˈkɛlʲəx
aoileach	ˈiːlʲəx
glaine	ˈɡlˠanʲə
gléas	ɟlʲeːsˠ
phost	fˠɔsˠt̪ˠ
cadán	ˈkad̪ˠɑːnˠ
foide	ˈfˠɛdʲə
triuch	tʲɾʲʊx
ging	ɟɪɲ
siúnta	ˈʃuːn̪ˠt̪ˠə
scéim	ʃceːmʲ
amadáin	ˈamˠəd̪ˠɑːnʲ
ngréin	ɲɾʲeːnʲ
béala	ˈbʲeːlˠə
sinne	ˈʃɪn̠ʲə
rinne	ˈɾˠɪn̠ʲə
sócúl	ˈsˠoːkuːlˠ
caoga	ˈkiːɡə
Aoife	ˈiːfʲə
bánaigh	ˈbˠɑːn̪ˠə
mhac	wak
dócúl	ˈd̪ˠoːkuːlˠ
Séamaisín	ˈʃeːmˠəʃiːnʲ
cábla	ˈkɑːbˠlˠə
orca	ˈɔɾˠkə
éadrom	ˈeːd̪ˠɾˠəmˠ
páirt	pˠɑːɾˠtʲ
cóiste	ˈkoːʃtʲə
lúcháir	ˈl̪ˠuːxɑːɾʲ
arsa	ˈaɾˠsˠə
gairid	ˈɡaɾʲədʲ
chac	xak
feide	ˈfʲɛdʲə
dhuitse	ˈɣɪtʲʃə
crom	kɾˠʊmˠ
binne	ˈbʲɪn̠ʲə
ursa	ˈʊɾˠsˠə
finne	ˈfʲɪn̠ʲə
iarraigí	ˈiəɾˠəɟiː
farraigí	ˈfˠaɾˠəɟiː
Máirt	mˠaːɾˠtʲ
phota	ˈfˠɔt̪ˠə
giúiré	ˈɟuːɾʲeː
bith	bʲɪ
lae	l̪ˠeː
aoil	iːlʲ
nae	n̪ˠeː
mháistreása	ˈwɑːʃtʲɾʲɑːsˠə
rop	ɾˠɔpˠ
scaoil	sˠkiːlʲ
goil	ɡɛlʲ
tae	t̪ˠeː
wae	weː
coil	kɛlʲ
mbeanna	ˈmʲan̪ˠə
faillí	ˈfˠal̠ʲiː
mboga	ˈmˠɔɡə
aitheasc	ˈahəsˠk
feileann	ˈfʲɛlʲən̪ˠ
rialtas	ˈɾˠiəl̪ˠt̪ˠəsˠ
pháistí	ˈfˠɑːʃtʲiː
giota	ˈɟit̪ˠə
einsímeach	ˈɛn̠ʲʃiːmʲəx
crosóg	ˈkɾˠɔsˠoːɡ
bróige	ˈbˠɾˠoːɟɪ
mheil	vʲelʲ
pictiúir	ˈpʲɪctʲuːɾʲ
sula	ˈsˠʊlˠə
bádóir	ˈbˠɑːd̪ˠoːɾʲ
buataisí	ˈbˠuət̪ˠəʃiː
haenna	ˈheːn̪ˠə
sochraid	ˈsˠɔxɾˠədʲ
ruda	ˈɾˠʊd̪ˠə
mblas	mˠlˠasˠ
peata	ˈpʲat̪ˠə
teoranta	ˈtʲoːɾˠən̪ˠt̪ˠə
gearán	ˈɟaɾˠɑːnˠ
macra	ˈmˠakɾˠə
geata	ˈɟat̪ˠə
ngiorria	ˈɲɪɾˠiə
deisigh	ˈdʲɛʃə
doimhneacht	ˈd̪ˠevʲnʲəxt̪ˠ
insim	ˈin̠ʲʃəmʲ
iarracht	ˈiəɾˠəxt̪ˠ
feisigh	ˈfʲɛʃiː
piléir	ˈpʲɪlʲeːɾʲ
druncaera	ˈd̪ˠɾˠʊŋkeːɾˠə
máthar	ˈmˠɑːhəɾˠ
bruscar	ˈbˠɾˠʊsˠkəɾˠ
táthar	ˈt̪ˠɑːhəɾˠ
ghiorria	ˈjɪɾˠiə
dinnéar	ˈdʲɪn̠ʲeːɾˠ
ghlac	ɣlˠak
sás	sˠɑːsˠ
fága	ˈfˠɑːɡə
gága	ˈɡɑːɡə
drama	ˈd̪ˠɾˠamˠə
bhfarraige	ˈwaɾˠəɟə
céad	ceːd̪ˠ
déad	dʲeːd̪ˠ
í	iː
ór	oːɾˠ
gceártaí	ˈɟɑːɾˠt̪ˠiː
gealt	ɟal̪ˠt̪ˠ
bailte	ˈbˠal̠ʲtʲə
péire	ˈpʲeːɾʲə
túir	t̪ˠuːɾʲ
réad	ɾˠeːd̪ˠ
séad	ʃeːd̪ˠ
téad	tʲeːd̪ˠ
méad	mʲeːd̪ˠ
géire	ˈɟeːɾʲə
cúlú	ˈkuːlˠuː
mhéadar	ˈvʲeːd̪ˠəɾˠ
gcuairteanna	ˈɡuəɾˠtʲən̪ˠə
dtithe	ˈdʲɪhɪ
féad	fʲeːd̪ˠ
beartach	ˈbʲaɾˠt̪ˠəx
cá háit	kɑːˈhɑːtʲ
gcuireann	ˈɡɪɾʲən̪ˠ
bácús	ˈbˠɑːkuːsˠ
Éireannach	ˈeːɾʲən̪ˠəx
plúchfaidh	ˈpˠlˠuːxə
dula	ˈd̪ˠʊlˠə
deirtear	ˈdʲɛɾʲtʲəɾˠ
Eabhrac	ˈəuɾˠək
bheanna	ˈvʲan̪ˠə
Máire	ˈmˠɑːɾʲə
céad mháta	ceːd̪ˠ ˈwɑːt̪ˠə
binid	ˈbʲɪnʲədʲ
seaicéad	ˈʃaceːd̪ˠ
mala	ˈmˠalˠə
deisceart	ˈdʲɛʃcəɾˠt̪ˠ
éillín	ˈeːl̠ʲiːnʲ
triúr	tʲɾʲuːɾˠ
fúinn	fˠuːn̠ʲ
mearcair	ˈmʲaɾˠkəɾʲ
tóig	t̪ˠoːɟ
fhraoigh	ɾˠiː
ngloiní	ˈŋlˠɪnʲiː
liom	lʲʊmˠ
dúramar	ˈd̪ˠuːɾˠəmˠəɾˠ
tailte	ˈt̪ˠal̠ʲtʲə
litiam	ˈl̠ʲɪtʲiəmˠ
éasca	ˈeːsˠkə
coinne	ˈkɪn̠ʲə
é	eː
cás	kɑːsˠ
fás	fˠɑːsˠ
mara	ˈmˠaɾˠə
olaí	ˈɔlˠiː
fliúit	fʲlʲuːtʲ
más	mˠɑːsˠ
fara	ˈfˠaɾˠə
roinne	ˈɾˠɪn̠ʲə
bara	ˈbˠaɾˠə
toinne	ˈt̪ˠɪn̠ʲə
dara	ˈd̪ˠaɾˠə
cara	ˈkaɾˠə
bás	bˠɑːsˠ
faoisean	ˈfˠiːʃənˠ
shábháil	ˈhɑːwɑːlʲ
bleán	bʲlʲɑːnˠ
aisig	ˈaʃɪc
géagán	ˈɟeːɡɑːnˠ
úr	uːɾˠ
haon	hiːnˠ
gorún	ˈɡɔɾˠuːnˠ
eala	ˈalˠə
gáire	ˈɡɑːɾʲə
cúirt	kuːɾˠtʲ
príobháideacht	ˈpʲɾʲiːwɑːdʲəxt̪ˠ
sagartúil	ˈsˠaɡəɾˠt̪ˠuːlʲ
cheárta	ˈçɑːɾˠt̪ˠə
Tomás	ˈt̪ˠʊmˠɑːsˠ
fearthainne	ˈfʲaɾˠhən̠ʲə
coise	ˈkɔʃə
cultacha	ˈkɔl̪ˠt̪ˠəxə
t-iasc	tʲiəsˠk
cruaim	kɾˠuəmʲ
