word,tags,ipa
tagann,,ˈt̪ˠaɡən̪ˠ
straiméad,Ulster,ˈsˠt̪ˠɾˠaːmʲædʲ
deargadh,Galway; Munster,ˈdʲaɾˠəɡə
ar an ásc sin,Ulster,ɛɾʲ ənˠ ˈæːsk ʃɪnʲ
buíocán,Connacht,"ˈbˠiːkɑːnˠ, ˈbˠiːkɑːn̪ˠ"
máistir,Ulster,ˈmˠaiʃtʲəɾʲ
áraistí,Munster,ɑːɾˠəʃˈtʲiː
dailtín,Munster,d̪ˠɑlʲˈtʲiːnʲ
eascrach,,ˈasˠkɾˠəx
fathach,Ulster,"fˠaːx, ˈfˠaiha(x)"
airde,Ulster,ˈʌɾˠdʲə
peanna,Cois-Fharraige,ˈpʲaːn̪ˠə
maraigh,Mayo,ˈmˠaɾˠiː
Bealach Féich,Ulster,ˌbʲalˠa(x)ˈfʲəi̯
anraith,Ulster,"ˈaːnˠɾˠɪ, ˈaːnˠrˠɪ"
ceirt,,cɛɾˠtʲ
spreagadh,Munster,ˈsˠpʲɾʲaɡəɡ
fill,Munster,fʲiːlʲ
fria,Cois-Fharraige,fˠɾˠeː
einte,Ulster,ˈen̠ʲtʲə
beireadh,Mayo,ˈbʲɛɾʲuː
macánta,Connacht,ˈmakɑːn̪ˠt̪ˠə
barúil,Connacht,ˈbˠaɾˠuːlʲ
galraí,Ulster,"ˈɡalˠɾˠiː, ˈɡalˠrˠiː"
adhann,Munster,ˈɑɪ(ə)n̪ˠ
cealg,Ulster; Munster; Connacht,ˈcal̪ˠəɡ
saonta,Munster,ˈsˠeːn̪ˠt̪ˠə
cruthaigh,Ulster,ˈkɾˠʊhi
deileanna,,ˈdʲɛlʲən̪ˠə
fealsúnacht,Connacht,ˈfʲal̪ˠsˠuːnˠəxt̪ˠ
nó go,Munster,n̪ˠuː ɡə
slogadh,Galway,ˈsˠl̪ˠɔɡəvˠ
Muimhneach,Munster,ˈmˠiːn̠ʲəx
agamsa,Aran,"ˈɑmˠsˠə, ˈɑɡəmˠsˠə"
cathaoireacha,Munster,kaˈhiːɾʲəxə
curach,Ulster,"ˈkɤɾˠa, ˈkɤɾˠah, ˈkɤɾˠax"
Gearmáin,Mayo; Connemara,ˈɟaɾˠəmˠɑːnʲ
coicheán,Ulster,ˈkɔihanˠ
Connacht,Munster,ˈkɔn̪ˠəxt̪ˠ
óstach,Ulster,ˈɔːsˠt̪ˠa(h)
garga,,ˈɡaɾˠəɡə
áiteamh,Ulster,ˈɑːtʲu
comparáid,Munster,kõmˠpˠəˈɾˠɑːdʲ
dílse,Galway,ˈdʲiːlʲʃə
beidh,Connacht,"bʲai, bʲe"
fuinseog,Connacht,ˈfˠɪn̠ʲʃoːɡ
éad,Ulster; Connacht,eːd̪ˠ
catach,Connacht,ˈkat̪ˠəx
treabhaite,Ulster,ˈtʲɾʲɨ̞tʲə
orla,,ˈɔːɾˠl̪ˠə
teoiric,Ulster,ˈtʲɔːɾʲɪc
sleá,Munster; Connacht,ˈʃl̠ʲɑː
foscadh,Cois-Fharraige,ˈfˠasˠkə
ribe,,ˈɾˠɪbʲə
páistí,Munster,pˠɑːʃˈtʲiː
cóisir,Munster; Connacht,ˈkoːʃəɾʲ
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ
bídh,Munster,bʲiːɟ
máthair,Connacht,ˈmˠãːhəɾʲ
abláil,Munster,əbˠəˈl̪ˠɑːlʲ
áitíonn,Connacht,ˈɑːtʲiːn̪ˠ
imir,,ˈɪmʲəɾʲ
sagairt,Cois-Fharraige,ˈsˠæɡəɾˠtʲ
spéis,,sˠpʲeːʃ
nuaghinte,,ˈn̪ˠʊʝɪnʲtʲə
flichne,Ulster,ˈfʲlʲɨ̞hnu
taispeáin,Cois-Fharraige,"t̪ˠəˈsˠpˠɑːnʲ, ˈsˠpˠɑːnʲ"
ging,,ɟɪɲ
canáil,Connacht,ˈkanˠɑːlʲ
gort,Munster,ɡʌɾˠt̪ˠ
mochóiríoch,Cork,mˠəˈxoːɾʲiːx
diaspóra,Connacht,ˈdʲiəsˠpˠoːɾˠə
cár,Ulster,kaːɾˠ
damhán,Ulster,"ˈd̪ˠawanˠ, ˈd̪ˠawan̪ˠ"
mion,Munster,mʲɨn̪ˠ
plátaí,Connacht,ˈpˠlˠɑːt̪ˠiː
aireachtáil,Mayo,ˈaɾʲəxt̪ˠɑːlʲ
lasmuigh,Munster,l̪ˠasˠˈmˠɪɟ
feirge,,ˈfʲɛɾʲɪɟɪ
buaine,Munster; Connacht,ˈbˠuənʲə
tosaigh,Ulster,ˈt̪ˠʌsˠi
damhsa,dated,ˈd̪ˠə̃ũsˠə
naonúr,Connacht,ˈn̪ˠiːnˠuːɾˠ
magadh,Munster,ˈmˠɑɡə
sútra,,ˈsˠuːt̪ˠɾˠə
dhíotsa,,ˈjiːt̪ˠsˠə
déanann,Aran,"ˈdʲeːnən̪ˠ, ˈdʲiːnən̪ˠ"
bruith,Cois-Fharraige,bˠɾˠʊ
miotóg,Connacht,ˈmʲɪt̪ˠoːɡ
agat,Munster,"əˈɡut̪ˠ, əˈɡɑt̪ˠ, əˈɣɑt̪ˠ"
bailím,Aran,ˈbˠaliːmʲ
molfaidh,Ulster,"ˈmˠʌlˠhi, ˈmˠʌlˠhə, ˈmˠʌl̪ˠhə"
ceathrú,Munster,"cahəˈɾˠuː, caɾˠˈhuː"
scoláireacht,Connacht,ˈsˠkɔlˠɑːɾʲəxt̪ˠ
ciníocha,Munster,cɪˈnʲiːxə
dream,Ulster; Connacht,dʲɾʲamˠ
fulang,Kerry; Munster; Cork,ˈfˠol̪ˠəɡ ~ ˈfˠul̪ˠəɡ
seilbhe,,ˈʃɛlʲəvʲə
lúbaire,,ˈl̪ˠuːbˠəɾʲə
boladh,Kerry,"bˠl̪ˠa(h), bˠəˈl̪ˠɑh ~ bˠl̪ˠɑh"
dóigh,Ulster,d̪ˠoːj
lá saoire,Munster,ˈl̪ˠɑː ˈsˠiːɾʲə
trach,,t̪ˠɾˠɑx
tógtar,,ˈt̪ˠoːkt̪ˠəɾˠ
liacht,,l̠ʲiəxt̪ˠ
scrábán,Connacht,ˈsˠkɾˠɑːbɑːnˠ
saothrú,Cois-Fharraige,ˈsˠiːɾˠuː
tuirse,,ˈt̪ˠʊɾˠʃə
gliogaire,,ˈɟlʲɯɡəɾʲə
ghním,Connacht,n̠ʲiːmʲ
faigh,,fˠəi
ucht,Connacht,ɔxt̪ˠ
annamh,Ulster,ˈan̪ˠũ
paráiste,Ulster,ˈpˠaɾˠæʃtʲə
teoiric,Munster; Connacht,ˈtʲoːɾʲɪc
caillte,Mayo,ˈkalʲtʲiː
slog,Munster,"sˠl̪ˠoɟ, sˠl̪ˠɔɡ"
gol,Munster; Connacht,ɡɔl̪ˠ
cathaoirleach,Cois-Fharraige,ˈkaiɾˠl̠ʲəx
cleachtadh,Mayo; Ulster,ˈclʲaxt̪ˠətʲ
duine,Ulster; Munster; Connacht,ˈd̪ˠɪnʲə
crann,Cois-Fharraige; Aran,kɾˠɑːn̪ˠ
raibh,Ulster,ɾˠo(h)
foláir,Cois-Fharraige,fʲlʲɑːɾˠ
míol-luibh,Ulster,ˈmʲiəl̪ˠɨ̞vʲ
treabh,Connacht,ˈtʲɾʲəu
corradh,Ulster,ˈkɔɾˠu
roithleán,Ulster,"ˈɾˠɨ̞hlʲanˠ, ˈɾˠɨ̞hlʲan̪ˠ"
caora,Ulster; Munster; Connacht,ˈkiːɾˠə
cailce,,ˈkalʲcə
aistrím,Munster,aʃˈtʲɾʲiːmʲ
agus,Ulster; Mayo; Aran; Connemara; Munster,"əɡəsˠ, ɡəsˠ"
fána,Ulster,"ˈfˠaːnˠə, ˈfˠaːn̪ˠə"
Bairbre,,ˈbˠaɾʲəbʲɾʲə
laistiar,,l̪ˠaʃˈtʲiəɾˠ
aneas,Ulster,"(ə)ˈn̠ʲasˠ, (ə)ˈn̠ʲɛsˠ"
gil,,ɟɪlʲ
oblátach,Connacht,ˈɔbˠlˠɑːt̪ˠəx
gealbhan,Munster,ɟəˈl̪ˠuːn̪ˠ
oibriú,Mayo,ˈɛbʲɾʲuː
ar dtús,,əɾˠˈd̪ˠuːsˠ
dronuilleog,Ulster,ˈd̪ˠɾɔnˠˌɪl̠ʲaɡ
scuabadh,Galway; Munster,ˈsˠkuəbˠə
domlas,Munster,ˈd̪ˠumˠəlˠəsˠ ~ ˈd̪ˠomˠəlˠəsˠ
áibhéis,Ulster,ˈaːvʲɛʃ
ionadh,Mayo,"ˈiːnˠuː, ˈiːn̪ˠuː"
gnóthaigh,Ulster,ɡɾˠõːj
bagún,Ulster,ˈbˠaɡunˠ
mamach,Ulster,ˈmˠamˠa(x)
croch,Ulster,kɾˠʌx
id,,ɪd̪ˠ
sop,Munster,sˠɞpˠ
admhaím,Munster,ɑd̪ˠəˈvˠiːmʲ
inar,,ˈɪnˠəɾˠ
díchiall,Munster,ˌdʲiːˈceːlʲə
fataí,Connacht,"ˈfˠat̪ˠiː, ˈfˠɑt̪ˠiː"
cóireáil,Connacht,ˈkoːrʲɑːlʲ
carbón,Munster,kəɾˠ(ə)ˈbˠoːn̪ˠ
srathnaigh,Galway,"ˈsˠɾˠahnˠə, ˈsˠɾˠahn̪ˠə"
raon,Munster,ˈɾˠeːn̪ˠ
Th,,h
Francach,Ulster,ˈfˠɾˠaŋka(h)
beag,Munster; Connacht,bʲɞɡ
fichead,Aran; Ulster; Munster,ˈfʲɪhəd̪ˠ
sáith,Ulster,"sˠaːç, sˠaːi̯ç"
dathúil,Cois-Fharraige,"d̪ˠəulʲ, ˈd̪ˠahuːlʲ, ˈd̪ˠauːlʲ"
cion,Munster,cun̪ˠ
cruaidh,Munster,"kɾˠuəɟ, kɾˠuɛ̯ɟ"
lear,,l̠ʲaɾˠ
toisc,Munster,t̪ˠɔʃc
chaoirigh,Ulster,ˈxiːɾʲi
naomhóg,Munster,"n̪ˠeːˈvˠoːɡ, n̪ˠɑɪ(ə)ˈvˠoːɡ"
fuáil,Connacht,ˈfˠuːɑːlʲ
fata,Connacht,"ˈfˠat̪ˠə, ˈfˠɑt̪ˠə"
bhfuáil,,ˈwuːaːlʲ
uirrim,Munster,ˈɪɾʲəmʲ
saorann,Munster,ˈsˠeːɾˠən̪ˠ
ina dhiaidh,Aran,nə ˈjiə
héileacaptar,,ˈheː.l̪ʲəˌkapˠ.t̪ˠəɾˠ
tithe ósta,Ulster,ˌtʲɪhə ˈɔːsˠt̪ˠə
iontas,Ulster; Connacht,ˈiːn̪ˠt̪ˠəsˠ
romham,Ulster; Munster,ɾˠõːmˠ
Gaeilge,Munster,"ˈɡeːl̪ˠənʲ, ˈɡɰeːl̪ˠɪnʲ, ˈɡɰeːl̪ˠɪɲ"
Fínín,Munster,fʲiːˈnʲiːnʲ
pilibín,Ulster,ˈpʲɨ̞lʲəpʲinʲ
dearnamar,,ˈdʲaːɾˠn̪ˠəmˠəɾˠ
ticéad,,tʲɪceːd̪ˠ
seasc,,ʃasˠk
dearcaim,Munster; Connacht,ˈdʲaɾˠkəmʲ
criathar,Ulster; Munster,ˈcɾʲiːhəɾˠ
chuaigh,Galway; Ulster; Munster,xuə
cuideachtúil,Connacht,ˈkudʲəxt̪ˠuːlʲ
bille,,ˈbʲɪlʲə
ionsaí,Ulster,ˈɤnˠsˠi
uimhir,Munster; Connacht,ˈɪvʲəɾʲ
buíocháin,Connacht,ˈbˠiəxɑːnʲ
cumhdaigh,Galway,ˈkuːd̪ˠə
deora,Munster; Connacht,ˈdʲoːɾˠə
conairt,Munster,ˈkɔn̪ˠəɾˠtʲ
casfar,,ˈkɑsˠfˠəɾˠ
Connachtach,Munster; Connacht,ˈkon̪ˠəxt̪ˠəx
roth,Kerry,ɾˠɞh
fágtha,Munster,ˈfˠɑːkəhə
fearúil,Connacht,ˈfʲaɾˠuːlʲ
-as,,əsˠ
clogad,Ulster,"ˈklˠʌɡəd̪ˠ, ˈkl̪ˠʌɡəd̪ˠ"
flaithiúil,Ulster,"ˈfˠlˠahulʲ, ˈfˠl̪ˠahulʲ"
ga,Aran,ˈɡɞhə
naoscann,Ulster,"ˈn̪ˠiːsˠkən̪ˠ, ˈn̪ˠɯːsˠkən̪ˠ"
gléas,Munster,ɟlʲiːa̯sˠ
scrios,Ulster,ʃcɾʲɨ̞sˠ
hata,Ulster; Connacht,ˈhat̪ˠə
caithne,,ˈkahnʲə
stopallán,Connacht,ˈsˠt̪ˠɔpəl̪ˠɑːnˠ
cad é an dóigh atá ort,Ulster,kəˈdʲeː ənˠ d̪ˠoːj əˈt̪ˠaː ɔɾˠt̪ˠ
taoiseach,Ulster,"ˈt̪ˠiːʃah, ˈt̪ˠiːʃax"
feolta,Ulster,ˈfʲɔːl̪ˠt̪ˠə
ardfhear,Munster; Connacht,ˈɑːɾˠd̪ˠˌaɾˠ
compóirt,Cois-Fharraige,ˈkuːmˠpˠoːɾˠtʲ
sara fada,,ˈsˠɑɾˠə ˈfˠɑd̪ˠə
sleán,Ulster,"ʃl̠ʲaːnˠ, ʃl̠ʲaːn̪ˠ"
uathlathaí,Munster,uəl̪ˠəˈhiː
clúdach,Munster; Connacht,"ˈklˠuːd̪ˠəx, ˈkl̪ˠuːd̪ˠəx"
déanaidís,Aran,ˈdʲiːnədʲiːʃ
Dún na nGall,Ulster,ˌd̪ˠuːn̪ˠəˈŋal̪ˠ
crann,Munster,kɾˠaun̪ˠ
ar aghaidh,Munster,ɛɾʲ ˈəiɟ
geire,,ˈɟɛɾʲə
Albanach,Connacht,"ˈalˠəbˠənˠəx, ˈal̪ˠəbˠən̪ˠəx"
loit,Ulster,l̪ˠɔtʲ
sreang,Munster,ʃɾˠauŋɡ
mónóg,Ulster,ˈmˠɔːnˠaɡ
easóg,Connacht,"ˈasˠoːɡ, ˈæsˠoːɡ"
guite,,ˈɡɪtʲə
mar ea,,mˠaɾˠ ˈja
piachán,Connacht,ˈpʲiəxːɑːn
Sasanach,Ulster,"ˈsˠasˠənˠa(x), ˈsˠasˠən̪ˠa(x)"
cíobhaí,Ulster; Connacht,ˈciːwiː
reachtach,Ulster,ˈɾˠaxt̪ˠa(x)
dol,Ulster; Connacht,d̪ˠɔlˠ
dímhúineadh,Ulster,"ˈdʲiːmˠuːnˠu, ˈdʲiːmˠuːn̪ˠu, ˈdʲiːwuːnˠu, ˈdʲiːwuːn̪ˠu"
grinne,Waterford,ˈɟɾʲɪɲə
tréith,,tʲɾʲeː
clúiteach,Munster; Connacht,ˈkl̪ˠuːtʲəx
acadamh,Ulster,ˈakəd̪ˠu
margadh,Mayo; Ulster,ˈmˠaɾˠəɡuː
cinnidh,Munster,ˈcɪnʲɪɟ
tábhacht,Ulster,ˈt̪ˠaːwa(x)t̪ˠ
súiste,,ˈsˠuːʃtʲə
séide,,ˈʃeːdʲə
pis,,pʲɪʃ
bronntanas,Munster,ˈbˠɾˠɑun̪ˠt̪ˠən̪ˠəsˠ
ionraic,Ulster,ˈʌn̪ˠɾˠɪcɪ
nádúr,,ˈn̪ˠaːd̪ˠuːɾˠ
cluife,,"ˈklˠifʲə, ˈklˠufʲə, ˈklˠɨfʲə"
gleoite,,ˈɟlʲoːtʲə
a chairde,Ulster,ə ˈxæːɾˠdʲə
billiún,,ˈbʲil̠ʲuːnˠ
ngnóthaí,Cois-Fharraige,ˈn̪ˠuːiː
badráil,Ulster,ˈbˠad̪ˠɾˠalʲ
giúis,Munster; Connacht,ɟuːʃ
múch,,mˠuːx
deireanach,Aran,ˈdʲɛɾʲ(ə)nəx
planda,Munster,pl̪ˠaun̪ˠd̪ˠə
tiocfas,,ˈtʲʊkəsˠ
saoithiúil,Ulster,ˈsiːhwəlʲ
scaradh,Galway,ˈsˠkaɾˠə
geilt,,
fliuchadh,Galway; Munster,"ˈfʲlʲʊxə, ˈfʲlʲʊxəx"
in ainneoin,Ulster,əˈn̪ˠæn̠ʲænʲ
ionad,Connacht,ˈinˠəd̪ˠ
ofrála,Connacht,"ˈɔfˠɾˠɑːlˠə, ˈɔfˠɾˠɑːl̪ˠə"
laethanta na riabhaí,Connacht,ˈl̪ˠeːhən̪ˠt̪ˠə n̪ˠə ˈɾˠiəwiː
lúb,,l̪ˠuːbˠ
mórachas,Ulster,ˈmˠʌrˠaxəsˠ
bualadh,Galway; Munster,ˈbˠuəl̪ˠə
barr,Munster; Connacht,bˠɑːɾˠ
rú,,ɾˠuː
crosaire,,ˈkɾˠɔsəɾʲə
cnogaí,,ˈknˠuɡiː
coisrig,,ˈkɔʃɾʲɪc
béarla,Munster,ˈbʲiːa̯ɾˠl̪ˠə
doras,Munster,ˈd̪ˠʌɾˠəsˠ
dreancaid,,ˈdʲɾʲaŋkədʲ
croíthe,,ˈkɾˠiːhɪ
dreapaireacht,Ulster,ˈdʲɾʲapˠəɾʲa(x)t̪ˠ
neimheadh,Ulster,ˈnʲɛvʲu
seascann,Ulster,ˈʃasˠkənʲ
cealgfaidh,Galway; Ulster; Mayo,ˈcalˠəkə
tóra,Munster; Connacht,ˈt̪ˠoːɾˠə
cruinniú,Connacht,ˈkɾˠɪn̠ʲuː
foclóir,Ulster,ˈfˠʌkl̪ˠɔɾʲ
umhlú,Munster,uːˈl̪ˠuː
seisear,,ˈʃɛʃəɾˠ
toghadh,Connacht,ˈt̪ˠəu.ə
túir,,t̪ˠuːɾʲ
uireasach,,ˈɪɾʲəsˠəx
caismirt,Ulster,ˈkæʃmʲəɾˠtʲ
saor,Munster,sˠeːɾˠ
chaoirigh,Munster,ˈxiːɾʲɪɟ
stróic,,sˠt̪ˠɾˠoːc
tiargáil,Munster,tʲiː(ə)ɾˠˈɡɑːlʲtʲ
gairmiúil,Munster,ɡaɾʲɪˈmʲuːlʲ
Seoighe,,ˈʃoːjə
ainrialaí,,ˈanʲˌɾˠiəlˠiː
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx
ligh,Connacht,l̠ʲiː
smachtín,Ulster,ˈsˠmˠaxtʲiːnʲ
rámhaille,Ulster,ˈɾˠaːwəl̠ʲi
boga,,ˈbˠɔɡə
coille,,ˈkɞl̠ʲə
gearach,Ulster,ˈɟaɾa(x)
pobail,Munster; Connacht,ˈpˠɔbˠəlʲ
chíonn,,çiːn̪ˠ
sáim,Ulster,sˠaːmˠ
