word	got	expected	exact	lev	lev_norm	dolgo	dolgo_norm
beachaire	ˈbʲaxəɾʲə	ˈbʲaxəɾʲə	true	0	100.00	0.0000	100.00
ceacht	caxt̪ˠ	caxt̪ˠ	true	0	100.00	0.0000	100.00
feacht	fʲaxt̪ˠ	fʲaxt̪ˠ	true	0	100.00	0.0000	100.00
béic	bʲeːc	bʲeːc	true	0	100.00	0.0000	100.00
beacht	bʲaxt̪ˠ	bʲaxt̪ˠ	true	0	100.00	0.0000	100.00
dhearnamar	ˈjɑːɾˠn̪ˠəmˠəɾˠ	ˈjaːɾˠn̪ˠəmˠəɾˠ	false	1	93.33	0.1250	87.50
leacht	l̠ʲaxt̪ˠ	l̠ʲaxt̪ˠ	true	0	100.00	0.0000	100.00
diaga	ˈdʲiəɡə	ˈdʲiəɡə	true	0	100.00	0.0000	100.00
ngaranna	ˈŋaɾˠən̪ˠə	ˈŋaɾˠən̪ˠə	true	0	100.00	0.0000	100.00
céibhe	ˈceːvʲə	ˈceːvʲə	true	0	100.00	0.0000	100.00
choil	xɛlʲ	xɛlʲ	true	0	100.00	0.0000	100.00
coileán	ˈkɛlʲɑːnˠ	ˈkilʲɑːnˠ	false	1	88.89	0.2000	80.00
héisc	heːʃc	heːʃc	true	0	100.00	0.0000	100.00
leoga	ˈl̠ʲoːɡə	ˈl̠ʲoːɡə	true	0	100.00	0.0000	100.00
cnáib	kɾˠɑːbʲ	kɾˠɑːbʲ	true	0	100.00	0.0000	100.00
cál ceannann	kɑːlˠ ˈcan̪ˠən̪ˠ	ˌkɑːlˠ ˈcan̪ˠən̪ˠ	false	1	94.12	0.1111	88.89
fíona	ˈfʲiːnˠə	ˈfʲiːnˠə	true	0	100.00	0.0000	100.00
Bearna	ˈbʲɑːɾˠn̪ˠə	ˈbʲɑːɾˠn̪ˠə	true	0	100.00	0.0000	100.00
Pheadar	ˈfʲad̪ˠəɾˠ	ˈfʲad̪ˠəɾˠ	true	0	100.00	0.0000	100.00
reitric	ˈɾˠɛtʲɾʲɪc	ˈɾˠɛtʲɾʲɪc	true	0	100.00	0.0000	100.00
chugham	ˈxaiəmˠ	xuːmˠ	false	4	42.86	0.6000	40.00
ndóchas	ˈn̪ˠoːxəsˠ	ˈn̪ˠoːxəsˠ	true	0	100.00	0.0000	100.00
cúcamar	ˈkuːkəmˠəɾˠ	kuːkəmˠərˠ	false	2	81.82	0.0000	100.00
buille	ˈbˠɪl̠ʲə	ˈbˠɪl̠ʲə	true	0	100.00	0.0000	100.00
croí	kɾˠiː	kɾˠiː	true	0	100.00	0.0000	100.00
dheinimís	ˈjɛnʲəmʲiːʃ	jɪnʲəˈmʲiːʃtʲ	false	5	61.54	0.2500	75.00
aois	iːʃ	iːʃ	true	0	100.00	0.0000	100.00
dhíotsa	ˈjiːt̪ˠsˠə	ˈjiːt̪ˠsˠə	true	0	100.00	0.0000	100.00
dois	d̪ˠɔʃ	d̪ˠɔʃ	true	0	100.00	0.0000	100.00
fial	fʲiəlˠ	fʲiəlˠ	true	0	100.00	0.0000	100.00
adhlacóir	ˈailˠəkoːɾʲ	ˈəil̪ˠəkoːɾʲ	false	2	83.33	0.1429	85.71
bhfáinní	ˈwɑːn̠ʲiː	ˈwɑːn̠ʲiː	true	0	100.00	0.0000	100.00
Bascais	ˈbˠasˠkəʃ	ˈbˠasˠkəʃ	true	0	100.00	0.0000	100.00
ónarb	ˈoːnˠəɾˠbˠ	ˈoːnˠəɾˠbˠ	true	0	100.00	0.0000	100.00
dearna	ˈdʲɑːɾˠn̪ˠə	ˈdʲɑːɾˠn̪ˠə	true	0	100.00	0.0000	100.00
ghnáth	ɣn̪ˠɑː	ɣnˠɑː	false	1	83.33	0.0000	100.00
drúis	d̪ˠɾˠuːʃ	d̪ˠɾˠuːʃ	true	0	100.00	0.0000	100.00
hois	hɪʃ	hɪʃ	true	0	100.00	0.0000	100.00
cócaráil	ˈkoːkəɾˠɑːlʲ	ˈkoːkəˌɾˠaːlʲ	false	2	84.62	0.2500	75.00
líne	ˈl̠ʲiːnʲə	ˈl̠ʲiːnʲə	true	0	100.00	0.0000	100.00
easpach	ˈasˠpˠəx	ˈasˠpˠəx	true	0	100.00	0.0000	100.00
in éindí le	ɪnʲ ˈeːn̠ʲdʲiː lʲɛ	ə ˈn̠ʲeːn̠ʲdʲiː lʲə	false	7	63.16	0.2500	75.00
turas	ˈt̪ˠoɾˠəsˠ	ˈt̪ˠoɾˠəsˠ	true	0	100.00	0.0000	100.00
deintear	ˈdʲɛnʲtʲəɾˠ	ˈdʲɪnʲtʲəɾˠ	false	1	90.91	0.1667	83.33
bláthmhar	ˈbˠlˠɑːhwəɾˠ	ˈbˠlˠɑːfˠəɾˠ	false	2	83.33	0.2857	71.43
ceilpe	ˈcɛlʲpʲə	ˈcɛlʲpʲə	true	0	100.00	0.0000	100.00
bun	bˠunˠ	bˠun̪ˠ	false	1	83.33	0.0000	100.00
anoir	ˈanˠəɾʲ	əˈn̪ˠɛɾʲ	false	4	50.00	0.5000	50.00
t-iarann	tʲˈiəɾˠən̪ˠ	ˈtʲiəɾˠən̪ˠ	false	2	81.82	0.0000	100.00
freastalta	ˈfʲɾʲasˠt̪ˠəl̪ˠt̪ˠə	ˈfʲɾʲasˠt̪ˠəl̪ˠt̪ə	false	1	94.74	0.0000	100.00
luathcha	ˈl̪ˠuəhxə	ˈl̪ˠuəxə	false	1	88.89	0.1667	83.33
beirbhiughadh	ˈbʲɛɾʲəvʲəə	ˈbʲɛɾʲuː	false	5	54.55	0.5714	42.86
céadfach	ˈceːd̪ˠfˠəx	ˈceːd̪ˠfˠəx	true	0	100.00	0.0000	100.00
chneasta	ˈçɾʲasˠt̪ˠə	ˈçɾʲasˠt̪ˠə	true	0	100.00	0.0000	100.00
holc	hɔl̪ˠk	hɔlˠk	false	1	83.33	0.0000	100.00
iarnbhreac	ˈiəɾˠn̠ʲvʲɾʲək	ˈiəɾˠn̪ˠˌvʲɾʲak	false	4	73.33	0.2222	77.78
Eastóinis	ˈasˠt̪ˠoːnʲɪʃ	ˈasˠtˠoːnʲɪʃ	false	1	92.31	0.0000	100.00
ar dtús	ɛɾʲˈd̪ˠuːsˠ	əɾˠˈd̪ˠuːsˠ	false	2	81.82	0.2000	80.00
cáinim	ˈkɑːnʲəmʲ	ˈkɑːnʲəmʲ	true	0	100.00	0.0000	100.00
anfa	ˈanˠəfˠə	ˈanˠəfˠə	true	0	100.00	0.0000	100.00
galún	ˈɡalˠuːnˠ	ˈɡalˠuːnˠ	true	0	100.00	0.0000	100.00
boige	ˈbˠɛɟə	ˈbˠɛɟə	true	0	100.00	0.0000	100.00
d'fhulaing	ˈd̪ˠʊlˠəŋ	ˈd̪ˠʊlˠən̠ʲ	false	3	72.73	0.0000	100.00
fhear	aɾˠ	aɾˠ	true	0	100.00	0.0000	100.00
pice	ˈpʲɪcɪ	ˈpʲɪcɪ	true	0	100.00	0.0000	100.00
deisceart	ˈdʲɛʃcəɾˠt̪ˠ	ˈdʲɛʃcəɾˠt̪ˠ	true	0	100.00	0.0000	100.00
thoir	heɾʲ	heɾʲ	true	0	100.00	0.0000	100.00
luaidhe	ˈl̪ˠuəjə	ˈl̪ˠuː.iː	false	4	55.56	0.6000	40.00
clós	klˠoːsˠ	kl̪ˠoːsˠ	false	1	87.50	0.0000	100.00
scóip	sˠkoːpʲ	sˠkoːpʲ	true	0	100.00	0.0000	100.00
tionscadal	ˈtʲin̪ˠsˠkəd̪ˠəlˠ	ˈtʲin̪ˠsˠkəd̪ˠəlˠ	true	0	100.00	0.0000	100.00
deiseal	ˈdʲɛʃəlˠ	ˈdʲɛʃəlˠ	true	0	100.00	0.0000	100.00
imeacht	ˈimʲəxt̪ˠ	ˈimʲəxt̪ˠ	true	0	100.00	0.0000	100.00
aice	ˈacɪ	ˈacɪ	true	0	100.00	0.0000	100.00
ghoir	ɣɛɾʲ	ˈɣɛɾʲ	false	1	80.00	0.0000	100.00
choir	xɛɾʲ	xɛɾʲ	true	0	100.00	0.0000	100.00
iarsmalann	ˈiəɾˠsˠmˠəlˠən̪ˠ	ˈiəɾˠsˠmˠəlˠən̪ˠ	true	0	100.00	0.0000	100.00
Inis	ˈɪnʲɪʃ	ˈɪnʲɪʃ	true	0	100.00	0.0000	100.00
comhartha	ˈkəuɾˠhə	ˈkõhəɾˠuː	false	5	44.44	0.8333	16.67
cuarc	kuəɾˠk	kuəɾˠk	true	0	100.00	0.0000	100.00
puimcín	ˈpˠɪmʲciːnʲ	ˈpˠɪmʲciːn	false	1	90.91	0.0000	100.00
bhreab	vʲɾʲabˠ	vʲɾʲabˠ	true	0	100.00	0.0000	100.00
aon	iːnˠ	iːn̪ˠ	false	1	80.00	0.0000	100.00
con	kɔnˠ	kɔnˠ	true	0	100.00	0.0000	100.00
bhfuilimid	ˈwɪlʲəmʲədʲ	ˈwɪlʲəmʲədʲ	true	0	100.00	0.0000	100.00
don	d̪ˠɔnˠ	d̪ˠɔnˠ	true	0	100.00	0.0000	100.00
ceintiméadar	ˈcɛn̠ʲtʲəmʲeːd̪ˠəɾˠ	ˈcɛn̠ʲtʲəmʲeːd̪ˠəɾˠ	true	0	100.00	0.0000	100.00
caoga	ˈkiːɡə	ˈkiːɡə	true	0	100.00	0.0000	100.00
clogaid	ˈklˠɔɡədʲ	ˈklˠɔɡədʲ	true	0	100.00	0.0000	100.00
ab	abˠ	abˠ	true	0	100.00	0.0000	100.00
bheirimid	ˈvʲɛɾʲəmʲədʲ	ˈvʲɛɾʲəmʲədʲ	true	0	100.00	0.0000	100.00
buain	bˠuənʲ	ˈbˠuənʲ	false	1	85.71	0.0000	100.00
cuain	kuənʲ	kuənʲ	true	0	100.00	0.0000	100.00
cuibhrinn	ˈkɪvʲɾʲən̠ʲ	ˈkɪvʲɾʲən̠ʲ	true	0	100.00	0.0000	100.00
sliotar	ˈʃlʲɪt̪ˠəɾˠ	ˈʃlʲɪt̪ˠəɾˠ	true	0	100.00	0.0000	100.00
oiread	ˈɛɾʲəd̪ˠ	ˈɛɾʲəd̪ˠ	true	0	100.00	0.0000	100.00
barr-	bˠaːɾˠ	bˠɑːɾˠ	false	1	83.33	0.3333	66.67
cleacht	clʲaxt̪ˠ	clʲaxt̪ˠ	true	0	100.00	0.0000	100.00
luain	l̪ˠuənʲ	ˈl̪ˠuənʲ	false	1	87.50	0.0000	100.00
acsón	ˈaksˠoːnˠ	ˈaksˠoːnˠ	true	0	100.00	0.0000	100.00
Iodáilis	ˈɪd̪ˠɑːlʲɪʃ	ˈɪdˠaːlʲɪʃ	false	2	81.82	0.1667	83.33
chais	xaʃ	xaʃ	true	0	100.00	0.0000	100.00
ghais	ɣaʃ	ɣaʃ	true	0	100.00	0.0000	100.00
nósanna	ˈn̪ˠoːsˠən̪ˠə	n̪ˠoːsˠən̪ˠə	false	1	92.31	0.0000	100.00
cibé	ˈcɪbʲeː	cɪˈbʲeː	false	2	71.43	0.0000	100.00
deargaim	ˈdʲaɾˠəɡəmʲ	ˈdʲaɾˠɡəmʲ	false	1	90.91	0.1429	85.71
shiúl	çuːlˠ	çuːlˠ	true	0	100.00	0.0000	100.00
ath-	ah	ah	true	0	100.00	0.0000	100.00
chéibh	çeːvʲ	ˈçeːvʲ	false	1	83.33	0.0000	100.00
léaró	ˈl̠ʲeːɾˠoː	ˈl̠ʲeːɾˠoː	true	0	100.00	0.0000	100.00
nc	ŋk	ŋk	true	0	100.00	0.0000	100.00
Samhain	ˈsˠəunʲ	sˠəunʲ	false	1	85.71	0.0000	100.00
aoibheallach	ˈiːvʲəl̪ˠəx	ˈiːvʲəl̪ˠəx	true	0	100.00	0.0000	100.00
fréimhe	ˈfʲɾʲeːvʲə	ˈfʲɾʲeːvʲə	true	0	100.00	0.0000	100.00
lofa	ˈl̪ˠɔfˠə	ˈl̪ˠɔfˠə	true	0	100.00	0.0000	100.00
fearthainn	ˈfʲaɾˠhən̠ʲ	ˈfʲaɾˠhən̠ʲ	true	0	100.00	0.0000	100.00
insíonn	ˈɪn̠ʲʃiːn̪ˠ	ˈiːnʲʃiːn̪ˠ	false	3	72.73	0.0000	100.00
fiánta	ˈfʲiɑːn̪ˠt̪ˠə	ˈfʲiː.ɑːn̪ˠt̪ˠə	false	2	86.67	0.0000	100.00
miosúr	ˈmʲɪsˠuːɾˠ	ˈmʲɪsˠuːɾˠ	true	0	100.00	0.0000	100.00
bhfear	vʲaɾˠ	vʲaɾˠ	true	0	100.00	0.0000	100.00
chapall	ˈxapˠəl̪ˠ	ˈxapˠəl̪ˠ	true	0	100.00	0.0000	100.00
brách	bˠɾˠɑːx	bˠɾˠɑːx	true	0	100.00	0.0000	100.00
téana	ˈtʲeːnˠə	ˈtʲeːnˠə	true	0	100.00	0.0000	100.00
Caiseal	ˈkaʃəlˠ	ˈkaʃəlˠ	true	0	100.00	0.0000	100.00
bris	bʲɾʲɪʃ	bʲɾʲɪʃ	true	0	100.00	0.0000	100.00
Fódhla	ˈfˠoːlˠə	ˈfˠoːlˠə	true	0	100.00	0.0000	100.00
chol	xɔlˠ	xɔlˠ	true	0	100.00	0.0000	100.00
sraoill	sˠɾˠiːl̠ʲ	sˠɾˠiːl̠ʲ	true	0	100.00	0.0000	100.00
dearfach	ˈdʲaɾˠəfˠəx	ˈdʲaɾˠəfˠəx	true	0	100.00	0.0000	100.00
domasach	ˈd̪ˠʊmˠəsˠəx	ˈd̪ˠʊmˠəsˠəx	true	0	100.00	0.0000	100.00
péitseog	ˈpʲeːtʲʃoːɡ	ˈpʲeːtʲʃoːɡ	true	0	100.00	0.0000	100.00
iris	ˈɪɾʲəʃ	ˈɪɾʲəʃ	true	0	100.00	0.0000	100.00
Tír na nÓg	tʲiːɾʲ n̪ˠə ˈn̪ˠoːɡ	ˌtʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ	false	2	90.00	0.1111	88.89
buailte	ˈbˠuəl̠ʲtʲə	ˈbˠuəl̠ʲtʲə	true	0	100.00	0.0000	100.00
cánacha	ˈkɑːnˠəxə	ˈkɑːnˠəxə	true	0	100.00	0.0000	100.00
caiseal	ˈkaʃəlˠ	ˈkaʃəlˠ	true	0	100.00	0.0000	100.00
dúirt	d̪ˠuːɾˠtʲ	d̪ˠuːɾʲtʲ	false	1	88.89	0.0000	100.00
fuadach	ˈfˠuəd̪ˠəx	ˈfˠuəd̪ˠəx	true	0	100.00	0.0000	100.00
colanna	ˈkɔlˠən̪ˠə	ˈkɔlˠən̪ˠə	true	0	100.00	0.0000	100.00
ciumhais	ˈcəuʃ	cuːʃ	false	3	40.00	0.2500	75.00
catachas	ˈkɑt̪ˠəxəsˠ	ˈkɑt̪ˠəxəsˠ	true	0	100.00	0.0000	100.00
goilliúnach	ˈɡɛl̠ʲuːnˠəx	ˈɡɔl̠ʲuːnˠəx	false	1	91.67	0.1429	85.71
chara	ˈxɑɾˠə	ˈxɑɾˠə	true	0	100.00	0.0000	100.00
dhara	ˈɣaɾˠə	ˈɣaɾˠə	true	0	100.00	0.0000	100.00
gheall	jaːl̪ˠ	jal̪ˠ	false	1	83.33	0.0000	100.00
cnoga	ˈkɾˠɔɡə	ˈknˠuɡə	false	2	71.43	0.4000	60.00
grámhar	ˈɡɾˠɑːwəɾˠ	ˈɡɾˠɑːwəɾˠ	true	0	100.00	0.0000	100.00
seisean	ˈʃɛʃənˠ	ˈʃɛʃənˠ	true	0	100.00	0.0000	100.00
drochbhéasach	ˈd̪ˠɾˠɔhvʲeːsˠəx	d̪ˠɾɔxˈvʲeːsˠəx	false	4	75.00	0.1111	88.89
máistreás	ˈmˠɑːʃtʲɾʲɑːsˠ	ˈmˠɑːʃtʲɾʲɑːsˠ	true	0	100.00	0.0000	100.00
Rónán	ˈɾˠoːnˠɑːnˠ	ˈɾˠoːnˠɑːnˠ	true	0	100.00	0.0000	100.00
stagún	ˈsˠt̪ˠaɡuːnˠ	ˈsˠt̪ˠaɡuːnˠ	true	0	100.00	0.0000	100.00
daidithe	ˈd̪ˠadʲəhə	ˈdˠadʲɪhə	false	2	80.00	0.1667	83.33
bradach	ˈbˠɾˠad̪ˠəx	ˈbˠɾˠad̪ˠəx	true	0	100.00	0.0000	100.00
Victeoiria	vˈɪctʲoːɾʲiə	vʲɪcˈtʲoːɾʲiə	false	2	84.62	0.0000	100.00
caife	ˈkafʲə	ˈkafʲə	true	0	100.00	0.0000	100.00
giucs	ɟʊksˠ	ɟɯksˠ	false	1	80.00	0.2500	75.00
milis	ˈmʲɪlʲəʃ	ˈmʲɪlʲəʃ	true	0	100.00	0.0000	100.00
bristear	ˈbʲɾʲɪʃtʲəɾˠ	ˈbʲɾʲɪʃtʲəɾˠ	true	0	100.00	0.0000	100.00
cairdeas	ˈkɑːɾˠdʲəsˠ	ˈkɑːɾˠdʲəsˠ	true	0	100.00	0.0000	100.00
go héag	ɡəˈheːɡ	ɡəˈheːɡ	true	0	100.00	0.0000	100.00
phis	fʲɪʃ	fʲɪʃ	true	0	100.00	0.0000	100.00
diaspóra	ˈdʲiəsˠpˠoːɾˠə	ˈdʲiəsˠpˠoːɾˠə	true	0	100.00	0.0000	100.00
t-os	t̪ˠɔsˠ	t̪ˠɔsˠ	true	0	100.00	0.0000	100.00
fhiacha	ˈiəxə	ˈiəxə	true	0	100.00	0.0000	100.00
normal	ˈn̪ˠɔɾˠəmˠəlˠ	ˈn̪ˠɔɾˠəmˠəlˠ	true	0	100.00	0.0000	100.00
Gaeltacht	ˈɡeːl̪ˠt̪ˠəxt̪ˠ	ˈɡeːl̪ˠt̪ˠəxt̪ˠ	true	0	100.00	0.0000	100.00
-óidh	oː	oː	true	0	100.00	0.0000	100.00
bhuailte	ˈwuəl̠ʲtʲə	ˈwuəl̠ʲtʲə	true	0	100.00	0.0000	100.00
grúpa	ˈɡɾˠuːpˠə	ˈɡɾˠuːpˠə	true	0	100.00	0.0000	100.00
Áirc an Chonartha	ɑːɾʲc ənˠ ˈxɔnˠəɾˠhə	ˈɑːɾʲc ə ˌxɔn̪ˠəɾˠhə	false	5	75.00	0.0833	91.67
chur	xʊɾˠ	xʊɾˠ	true	0	100.00	0.0000	100.00
bhur	ə	ə	true	0	100.00	0.0000	100.00
deifir	ˈdʲɛfʲəɾʲ	ˈdʲɛfʲəɾʲ	true	0	100.00	0.0000	100.00
bhfadhb	wəibˠ	wəibˠ	true	0	100.00	0.0000	100.00
fhreastal	ˈɾʲasˠt̪ˠəlˠ	ˈɾʲasˠt̪ˠəlˠ	true	0	100.00	0.0000	100.00
bhfága	ˈwɑːɡə	ˈwɑːɡə	true	0	100.00	0.0000	100.00
flaithiúlacht	ˈfˠlˠæhuːlˠəxt̪ˠ	ˈfˠlˠæhuːlˠəxt̪ˠ	true	0	100.00	0.0000	100.00
léis	l̠ʲeːʃ	l̠ʲeːʃ	true	0	100.00	0.0000	100.00
Tuircis	ˈt̪ˠʊɾʲcɪʃ	ˈt̪ˠʊɾʲcɪʃ	true	0	100.00	0.0000	100.00
stoca	ˈsˠt̪ˠɔkə	ˈsˠt̪ˠɔkə	true	0	100.00	0.0000	100.00
snámh	sˠn̪ˠɑːw	sˠn̪ˠɑːvˠ	false	2	77.78	0.2500	75.00
séis	ʃeːʃ	ʃeːʃ	true	0	100.00	0.0000	100.00
thur	hʊɾˠ	hʊɾˠ	true	0	100.00	0.0000	100.00
bhfeicinn	ˈvʲɛcɪn̠ʲ	ˈvʲɛcɪn̠ʲ	true	0	100.00	0.0000	100.00
déantar	ˈdʲeːn̪ˠt̪ˠəɾˠ	ˈdʲeːn̪ˠt̪ˠəɾˠ	true	0	100.00	0.0000	100.00
oscail	ˈɔsˠkəlʲ	ˈɔsˠkəlʲ	true	0	100.00	0.0000	100.00
gréasaí	ˈɟɾʲeːsˠiː	ˈɟɾʲeːsˠiː	true	0	100.00	0.0000	100.00
i gcoinne	əˈɡɪn̠ʲə	əˈɡɪn̠ʲə	true	0	100.00	0.0000	100.00
duine fásta	ˈd̪ˠɪnʲə ˈfˠɑːsˠt̪ˠə	ˈd̪ˠɪnʲə ˈfˠɑːsˠt̪ˠə	true	0	100.00	0.0000	100.00
ghéig	jeːɟ	jeːɟ	true	0	100.00	0.0000	100.00
abrair	ˈabˠɾˠəɾʲ	ˈabˠɾˠəɾʲ	true	0	100.00	0.0000	100.00
casaoid	ˈkasˠiːdʲ	ˈkasˠiːdʲ	true	0	100.00	0.0000	100.00
cheoil	çoːlʲ	çoːlʲ	true	0	100.00	0.0000	100.00
ad	əd̪ˠ	əd̪ˠ	true	0	100.00	0.0000	100.00
Nc	ŋk	ŋk	true	0	100.00	0.0000	100.00
ar leith	ɛɾʲ ˈl̠ʲɛh	ɛɾʲˈl̠ʲɛh	false	1	90.00	0.0000	100.00
coinneáil	ˈkɪn̠ʲɑːlʲ	ˈkɪn̠ʲɑːlʲ	true	0	100.00	0.0000	100.00
holaí	ˈhɔlˠiː	ˈhɔlˠiː	true	0	100.00	0.0000	100.00
tógann	ˈt̪ˠoːɡən̪ˠ	ˈt̪ˠoːɡən̪ˠ	true	0	100.00	0.0000	100.00
sceith	ʃcɛ	ʃcɛ	true	0	100.00	0.0000	100.00
tuaisceart	ˈt̪ˠuəʃcəɾˠt̪ˠ	ˈt̪ˠuəʃcəɾˠt̪ˠ	true	0	100.00	0.0000	100.00
cén áit	ceːnʲˈɑːtʲ	ceːˈn̪ˠɑːtʲ	false	3	72.73	0.0000	100.00
eolach	ˈoːlˠəx	ˈoːl̪ˠəx	false	1	87.50	0.0000	100.00
scaoth	sˠkiː	sˠkiː	true	0	100.00	0.0000	100.00
caraos	ˈkaɾˠiːsˠ	ˈkaɾˠiːsˠ	true	0	100.00	0.0000	100.00
ceol	coːl̪ˠ	coːl̪ˠ	true	0	100.00	0.0000	100.00
bailiúchán	ˈbˠalʲuːxɑːnˠ	ˈbˠalʲuːxɑːnˠ	true	0	100.00	0.0000	100.00
