word,tags,ipa,results
caithfidh,Mayo; Connacht,ˈkɑihə,caitʲhfʲidʲ
caithirín,,ˈkahəˌɾʲiːnʲ,caitʲçiɾʲən̪
cantar,,ˈkan̪ˠt̪ˠəɾˠ,kɑn̪t̪əɾˠ
caoine,,ˈkiːnʲə,cæən̪ə
caomh,Connacht,kiːvˠ,kɑəm
caor,Connacht,kiːɾˠ,kɑəɾˠ
caor,,"kiːɾʲ, kɯːɾˠ",kɑəɾˠ
capaillín,Connacht,ˈkapˠəl̠ʲiːnʲ,kɑpʲəl̪l̪ən̪
carachtair,,ˈkaɾˠəxt̪ˠəɾʲ,kɑɾˠəkhtʲiɾʲ
carbhat,Connacht,kɑɾˠəˈwɑt̪ˠə,kɑɾˠbˠhət̪
carbán,Connacht,ˈkarˠbˠɑːnˠ,kɑɾˠbˠən̪
carraige,Munster; Connacht,"ˈkaɾˠəɟə, ˈkɑɾˠəɟə",kɑrɾʲiɟi
carráistí,Connacht,ˈkɞɾˠɑːʃtʲiː,kɑrɾʲiʃtʲi
casaoid,Ulster; Connacht,ˈkasˠiːdʲ,kɑʃiidʲ
catach,Connacht,ˈkat̪ˠəx,kɑt̪əx
cathain,,ˈkahənʲ,kɑtʲçən̪
cathú,Connacht,ˈkɑhu(ː),kɑt̪hə
ceil,,cɛlʲ,cɛl̪
ceilp,,cɛlʲpʲ,cɛl̪pˠ
ceintiméadar,Connacht,ˈcɛn̠ʲtʲəmʲeːd̪ˠəɾˠ,cɛntʲimʲəd̪əɾˠ
ceisteach,Munster; Connacht,ˈcɛʃtʲəx,cɛʃtʲəx
ceolchoirm,,ˈcoːlˠˌxɞɾʲəmʲ,coːlcçiɾʲmˠ
ceártaí,Connacht,ˈcɑːɾˠt̪ˠiː,cærtʲi
chais,,xaʃ,cçaiʃ
chama,,ˈxamˠə,khɑmˠə
chaoga,Ulster; Connacht,ˈxiːɡə,khɑəgə
chaol,Ulster; Connacht,"xiːlˠ, xiːl̪ˠ",khɑəl̪
chapall,,ˈxapˠəl̪ˠ,khɑpˠəl̪l̪
charad,,ˈxaɾˠəd̪ˠ,khɑɾˠəd̪
charaid,,"ˈxaɾˠədʲ, ˈxɑɾˠədʲ",khɑɾʲidʲ
chas,,xɑsˠ,khɑsˠ
chath,,xah,khɑt
cheal,,çalˠ,cçɑl̪
cheaptaí,,ˈçapˠt̪ˠiː,cçɑptʲi
cheird,Aran; Connacht,xaiɾʲdʲ,cçɛɾʲd̪
cheárta,Connacht,ˈçɑːɾˠt̪ˠə,cçæɾˠt̪ə
chiardhuibh,,ˈçiəɾˠɣɪvʲ,cçiəɾˠd̪hibʲ
chiúin,,çuːnʲ,cçɪən̪
chloisteáil,,ˈxlˠɔʃtʲɑːlʲ,khl̪ɛʃtʲəl̪
chomh luath is,,xəˈl̪ˠuəsˠ,khɔm l̪uat ɪʃ
chorp,,xɔɾˠpˠ,khɔɾˠpˠ
choscair,Munster; Connacht,ˈxɔsˠkəɾʲ,khɔsciɾʲ
chruit,,xɾˠɪtʲ,khɾˠɪtʲ
chuairt,,"xuəɾˠtʲ, xuːɾˠtʲ",cçuaiɾʲt̪
chualathas,,ˈxuəlˠəhəsˠ,khual̪ət̪həsˠ
chuimhnigh,Galway; Connacht,ˈxivʲnʲə,khɪmʲhn̪iɟ
chuimhnigh,Connacht,ˈxivʲnʲiː,khɪmʲhn̪iɟ
chulaith,Connacht,ˈxulˠ(h)ə,khɔl̪itʲ
chun,,xʊnˠ,khɔn̪
cháin,Munster; Connacht,xɑːnʲ,cçain̪
chás,,"xaːsˠ, xɑːsˠ",khɑsˠ
chítear,,ˈçiːtʲəɾˠ,cçɪtʲəɾˠ
chóir,Munster; Connacht,xoːɾʲ,cçɛɾʲ
ciardhuibhe,,ˈciəɾˠɣɪvʲə,ciəɾˠd̪hibʲçi
cibeal,,"ˈcɪbʲəlˠ, ˈcɪbʲəl̪ˠ",cɪbʲəl̪
cille,,ˈcɪl̠ʲə,cɪl̪l̪ə
cillín,Connacht,ˈcɪlʲiːnʲ,cɪl̪l̪ən̪
cion,Aran; Connacht,cinˠ,kɪn̪
cion,Mayo; Connemara; Connacht,cunˠ,kɪn̪
cion,Connacht,cɞnˠ,kɪn̪
cip,,cɪpʲ,cɪpʲ
cise,,ˈcɪʃə,cɪʃi
clabhchorda,,ˈklˠauˌxoːɾˠd̪ˠə,kl̪ɑbˠhkhəɾˠd̪ə
clabhtaí,,ˈklˠaut̪ˠiː,kl̪ɑbˠhtʲi
claíomh,Connacht,"ˈklˠavʲə, ˈklˠãvʲə",kl̪ɑəm
cliabhán,Connacht,"ˈclʲiəwɑːnˠ, ˈclʲiəwɑːn̪ˠ",kl̪iəbˠhən̪
cliste,,ˈcʲlʲɪʃtʲə,kl̪ɪʃtʲi
