word,tags,ipa,results,match,dolgo
'comhluadar',,ˈkoːlˠuəd̪ˠəɾˠ, ˈkoːl̪ˠuəd̪ˠəɾˠ,ˈkəulˠuəd̪ˠəɾˠ,86,0.88
'shleamhna',,ˈ(h)lʲãunˠə, ˈ(h)lʲãun̪ˠə,ˈhlʲəun̪ˠə,75,0.80
'mhún',,wuːnˠ, wuːn̪ˠ,wuːn̪ˠ,100,1.0
'cúntach',,ˈkuːn̪ˠt̪ˠəx,ˈkuːn̪ˠt̪ˠəx,100,1.0
't-iarann',,ˈtʲiəɾˠən̪ˠ,tʲ-ˈiəɾˠən̪ˠ,75,0.80
'géagláidir',,ˈɟeːɡˌl̪ˠɑːdʲɪɾʲ,ˈɟeːɡlˠɑːdʲəɾʲ,82,0.85
'réidhleán',,ˈɾˠeːlʲɑːn̪ˠ,ˈɾʲeːlʲeɑːn̪ˠ,86,0.88
'péint',,pʲeːnʲtʲ,pʲeːn̠ʲtʲ,85,0.88
'freastalaíonn',,ˈfʲɾʲasˠt̪ˠəlˠiːn̪ˠ,ˈfʲɾʲəsˠt̪ˠəlˠiːuːn̪ˠ,85,0.88
'gabhála',,ˈɡawɑːlˠə,ˈɡəɑːlˠə,86,0.88
'ghustal',,ˈɣʊsˠt̪ˠəlˠ, ˈɣʊsˠt̪ˠəl̪ˠ,ˈɣʊsˠt̪ˠəlˠ,100,1.0
'gcurach',,ˈɡɔɾˠəx, ˈɡʊɾˠəx,ɡˈʊɾˠəx,69,0.76
'bainim',,ˈbˠanʲəmʲ, ˈbˠænʲəmʲ,ˈbˠanʲəmʲ,100,1.0
'chnáimh',,xɾˠɑːvʲ,xɾˠáiiː,41,0.63
'subh',,sˠuː, sˠʊvˠ, sˠʊw,sˠəu,50,0.67
'saoil',,sˠiːlʲ,sˠiːlʲ,100,1.0
'imigh',,ˈimʲə,ˈɪmʲə,77,0.82
'trínarb',,ˈtʲɾʲiːnˠəɾˠbˠ,ˈtʲɾʲiːn̪ˠəɾˠbˠ,92,0.93
'Críost',,cɾʲiːsˠt̪ˠ,cɾʲiːʃtʲ,56,0.70
'Dubhghus',,ˈd̪ˠuːɣusˠ,ˈd̪ˠəuɣəsˠ,70,0.77
'arda',,ˈɑːɾˠd̪ˠə,ˈaɾˠəd̪ˠə,64,0.74
'toirneach',,ˈt̪ˠauɾʲn̠ʲəx, ˈt̪ˠauɾˠn̠ʲəx, ˈt̪ˠɞɾʲn̠ʲəx,ˈt̪ˠɛɾʲnʲəx,85,0.88
'cósta',,ˈkoːsˠt̪ˠə,ˈkoːsˠt̪ˠə,100,1.0
'sáfach',,ˈsɑːfˠəx,ˈsˠɑːfˠəx,86,0.88
'dúidín',,ˈdˠuːdʲiːnʲ,ˈd̪ˠúdʲiːnʲ,72,0.78
'dola',,ˈd̪ˠɔlˠə,ˈd̪ˠɔlˠə,100,1.0
'altann',,ˈal̪ˠt̪ˠən̪ˠ,ˈɛl̠ˠt̪ˠən̪ˠ,85,0.88
'aonaid',,ˈeːnˠədʲ,ˈiːn̪ˠədʲ,80,0.83
'gceart',,ɟaɾˠt̪ˠ,ɟaɾˠt̪ˠ,100,1.0
'crúbchrois',,ˈkɾˠuːbˠˌxɾˠʌʃ,ˈkɾˠuːbˠxɾˠəsˠ,70,0.77
'tiúba',,ˈtʲuːbˠə,ˈtʲuːbˠə,100,1.0
't-airgead',,ˈt̪ˠaɾʲɪɟəd̪ˠ,t̪ˠ-ˈaɾʲəɟəd̪ˠ,75,0.80
'measa',,ˈmʲasˠə,ˈmʲasˠə,100,1.0
'pósad',,ˈpˠoːsˠəd̪ˠ,ˈpˠoːsˠəd̪ˠ,100,1.0
'tola',,ˈt̪ˠɔl̪ˠə,ˈt̪ˠɔlˠə,87,0.89
'pósta',,ˈpˠoːsˠt̪ˠə,ˈpˠoːsˠt̪ˠə,100,1.0
'dhochtúirí',,ˈɣɔxt̪ˠuːɾʲiː,ˈɣɔxt̪ˠúɾʲiː,86,0.88
'hola',,ˈhɔl̪ˠə,ˈhɔlˠə,83,0.86
'gola',,ˈɡɔlˠə, ˈɡɔl̪ˠə,ˈɡɔlˠə,100,1.0
'fola',,ˈfˠɔlˠə,ˈfˠɔlˠə,100,1.0
'mola',,ˈmˠɔlˠə,ˈmˠɔlˠə,100,1.0
'ullamh',,ˈʊl̪ˠuː, ˈʊl̪ˠəvˠ,ˈʊlˠəu,58,0.71
'gleoite',,ˈɟlʲoːtʲə,ˈɟlʲoːtʲə,100,1.0
'alla',,ˈal̪ˠə,ˈalˠə,80,0.83
'athar',,ˈahəɾˠ,ˈahəɾˠ,100,1.0
'dearmadacha',,ˈdʲaɾˠmˠəd̪ˠəx,ˈdʲaɾˠmˠəd̪ˠəxə,92,0.93
'tsléibh',,tʲlʲeːvʲ,tʲʃlʲeːvʲ,85,0.88
'míonna',,ˈmʲiːn̪ˠə,ˈmʲiːnʲə,73,0.79
'pianó',,pʲiˈanˠoː,ˈpʲiən̪ˠoː,56,0.70
'dóite',,ˈd̪ˠoːtʲə,ˈd̪ˠótʲə,80,0.83
'dheinim',,ˈjɛnʲɪmʲ, ˈjɪnʲɪmʲ,ˈjɛnʲəmʲ,92,0.93
'glasóg',,ˈɡlˠasˠoːɡ, ˈɡl̪ˠasˠoːɡ,ˈɡlˠasˠoːɡ,100,1.0
'áitigh',,ˈɑːtʲiː, ˈɑːtʲə,ˈɑːtʲə,100,1.0
'liathróid',,ˈl̠ʲiə(h)ɾˠoːdʲ,ˈlʲiəhɾˠódʲ,69,0.77
'coinníoll',,ˈkɪn̠ʲiːl̪ˠ,ˈkɛnʲiːlʲ,61,0.72
'nach cuma',,n̪ˠax ˈkʊmˠə,ˈn̪ˠax kʊmˠə,77,0.82
'ngoid',,ŋɛdʲ,ŋɔd̪ˠ,44,0.64
'clós',,kl̪ˠoːsˠ,klˠoːsˠ,83,0.86
'diúca',,ˈdʲuːkə,ˈdʲuːkə,100,1.0
'chualabhair',,ˈxuəlˠəwəɾʲ,ˈxuəlˠəuəɾʲ,94,0.95
'bhán',,waːnˠ, wɑːnˠ,wɑːn̪ˠ,80,0.83
'facamar',,ˈfˠakəmˠəɾˠ,ˈfˠakəmˠəɾˠ,100,1.0
'dligh',,dʲlʲiː,dʲlʲɪ,66,0.75
'bligh',,bʲlʲiː,bʲlʲɪ,66,0.75
'gníomhaí',,ˈɡnʲiːwiː,ˈɟɾʲiːiː,71,0.78
'oileann',,ˈɛlʲən̪ˠ, ˈɪlʲən̪ˠ,ˈɛlʲən̪ˠ,100,1.0
'teagasc',,ˈtʲaɡəsˠ,ˈtʲaɡəsˠk,92,0.93
'scoil',,sˠkɔlʲ,sˠkɔlˠ,77,0.82
'Albain Nua',,ˈalˠəbˠə ˈn̪ˠuə,ˈalˠəbˠən̪ˠ n̪ˠuə,81,0.84
'morg',,ˈmˠɔɾˠəɡ,mˠɔɾˠɡ,73,0.79
'lorg',,ˈl̪ˠɔɾˠəɡ,lˠɔɾˠɡ,64,0.74
'féasta',,ˈfʲeːsˠt̪ˠə,ˈfʲeːsˠt̪ˠə,100,1.0
'bearna baoil',,ˌbʲɑːɾˠn̪ˠə ˈbˠiːlʲ,ˈbʲaɾˠn̪ˠə bˠiːlʲ,78,0.82
'lug',,l̪ˠʌɡ,lˠʊɡ,66,0.75
'uasal',,ˈuəsˠəlˠ, ˈuəsˠəl̪ˠ,ˈuəsˠəlˠ,100,1.0
'glóir',,ɡlˠoːɾʲ,ˈɡlˠóɾʲ,61,0.72
'gcomhluadar',,ˈɡoːlˠuəd̪ˠəɾˠ,ɡˈəulˠuəd̪ˠəɾˠ,75,0.80
'greannach',,ˈɟrʲan̪ˠəx,ˈɟɾʲan̪ˠəx,88,0.89
'did',,ˈdʲɪdʲ,dʲɪdʲ,80,0.83
'tiocfas',,ˈtʲʊkəsˠ,ˈtʲiəkfˠəsˠ,64,0.74
'stróicthe',,ˈsˠt̪ˠɾˠoːcə,ˈsˠt̪ˠɾˠóchə,80,0.83
'gléasann',,ˈɟlʲeːsən̪ˠ,ˈɟlʲeːsˠən̪ˠ,90,0.91
'hoibre',,ˈhɛbʲrʲə,ˈhɛbʲɾʲə,85,0.88
'spól',,sˠpˠoːlˠ, sˠpˠoːl̪ˠ,sˠpˠoːlˠ,100,1.0
'gnó',,ɡnˠoː, ɡnˠuː, ɡɾˠoː, ɡɾˠuː,ɡɾˠoː,100,1.0
'móid',,mˠoːdʲ,ˈmˠódʲ,50,0.67
'treascair',,ˈtʲrʲasˠkəɾʲ,ˈtʲɾʲasˠkəɾʲ,90,0.91
'chuán',,ˈxuː.ɑːnˠ,ˈxuɑːn̪ˠ,64,0.74
'codanna',,ˈkɔd̪ˠən̪ˠə,ˈkɔd̪ˠən̪ˠə,100,1.0
'leictreoir',,ˈlʲɛctʲɾʲoːɾʲ,ˈlʲɛctʲɾʲoːɾʲ,100,1.0
'méine',,ˈmʲeːnʲə,ˈmʲeːnʲə,100,1.0
'copar',,ˈkopˠəɾˠ,ˈkɔpˠəɾˠ,85,0.88
'coisc',,kʌʃc,kɔsˠk,14,0.54
'litiam',,ˈl̠ʲɪtʲiəmˠ,ˈlʲɪtʲiəmˠ,88,0.90
'béic',,bʲeːc,bʲeːc,100,1.0
'chruinne',,ˈxɾˠɪn̠ʲə,ˈxɾˠən̪ˠə,75,0.80
'critice',,ˈcɾʲɪtʲɪcɪ,ˈcɾʲətʲəcə,82,0.85
'coisric',,ˈkɛʃɾʲɪc,ˈkɛʃɾʲəc,92,0.93
'spleáchas',,ˈsˠpʲlʲaːxəsˠ,ˈʃpʲlʲeɑːxəsˠ,71,0.78
'uaine',,ˈuənʲə,ˈuənʲə,100,1.0
'fhear',,aɾˠ,aɾˠ,100,1.0
'fhir',,ɪɾʲ,ɪɾʲ,100,1.0
'monarcacht',,ˈmˠɔnəɾˠkəxt̪ˠ,ˈmˠɔn̪ˠəɾˠkəxt̪ˠ,85,0.87
'coda',,ˈkɔd̪ˠə,ˈkɔd̪ˠə,100,1.0
'ndochtúirí',,ˈn̪ˠɔxt̪ˠuːɾʲiː,n̪ˠˈɔxt̪ˠúɾʲiː,72,0.78
'macra',,ˈmˠakɾˠə,ˈmˠakɾˠə,100,1.0
'bhoid',,wɪdʲ,wɔd̪ˠ,37,0.62
'fungasach',,ˈfˠʊŋɡəsˠəx,ˈfˠuːŋəsˠəx,73,0.79
'eachra',,ˈaxɾˠə,ˈaxɾˠə,100,1.0
'easpaig',,ˈasˠpˠɪɟ,ˈasˠpˠəc,76,0.81
'shir',,hɪɾʲ,hɪɾʲ,100,1.0
'meán',,mʲɑːn̪ˠ,ˈmʲeɑːn̪ˠ,80,0.83
'pící',,ˈpʲiːciː,ˈpʲiːciː,100,1.0
'báis',,bˠɑːʃ,bˠɑːʃ,100,1.0
'straitéis',,ˈsˠt̪ˠɾˠatʲeːʃ,ˈsˠt̪ˠɾˠatʲeːʃ,100,1.0
'feilméaraí',,ˈfʲɛlʲəmʲeːɾˠiː,ˈfʲɛl̠ʲmʲeːɾˠiː,84,0.86
'muilinn',,ˈmˠɪlʲən̠ʲ,ˈmˠɪlʲən̪ˠ,82,0.85
'bráithre',,ˈbˠɾˠɑːɾʲə,ˈbˠɾˠɑːhɾʲə,95,0.95
'flaithiúil',,ˈfˠlˠæhuːlʲ, ˈfˠl̪ˠæhuːlʲ,ˈfˠlˠəhúlʲ,70,0.77
'glún',,ɡl̪ˠuːn̪ˠ,ɡlˠuːn̪ˠ,86,0.88
'eascrach',,ˈasˠkɾˠəx,ˈasˠkɾˠəx,100,1.0
'scrúdú',,ˈsˠkɾˠuːd̪ˠuː,ˈsˠkɾˠuːd̪ˠuː,100,1.0
'Raeta-Rómáinsis',,ˈɾˠeːtˠəroːˌmˠaːnʲʃɪʃ, ˌɾˠeːtˠəroːˈmˠaːnʲʃɪʃ,ˈɾʲeːt̪ˠə-ɾˠoːmˠɑːn̪ʲʃəʃ,64,0.74
'polla',,ˈpˠɔl̪ˠə,ˈpˠɔlˠə,85,0.88
'ndomhan',,ˈn̪ˠaʊ.ən̪ˠ, ˈn̪ˠoː.ən̪ˠ,n̪ˠˈəuən̪ˠ,61,0.72
'dragan',,ˈd̪ˠɾˠaɡənˠ,ˈd̪ˠɾˠaɡən̪ˠ,90,0.91
'bhfarraigí',,ˈwaɾˠəɟiː,wˈaɾˠəɟiː,86,0.88
'pearsana',,ˈpʲaɾˠsˠənˠə,ˈpʲaɾˠsˠən̪ˠə,90,0.92
'choil',,xɛlʲ,xɔlˠ,50,0.67
'píopa',,ˈpʲiːpˠə,ˈpʲiːpˠə,100,1.0
'Stiofáin',,ˈʃtʲʊfˠɑːnʲ,ˈʃtʲiəfˠɑːnʲ,85,0.87
'hait',,hatʲ,hatʲ,100,1.0
'cille',,ˈcɪl̠ʲə,ˈcɪlʲə,83,0.86
'guta',,ˈɡʊt̪ˠə,ˈɡʊt̪ˠə,100,1.0
'uaireanta',,ˈuəɾʲən̪ˠt̪ˠə,ˈuəɾʲən̪ˠt̪ˠə,100,1.0
'hidrigin',,hɪdʲɾʲɪɟɪnʲ,ˈhɪdʲɾʲəɟɪnʲ,85,0.88
'sealadach',,ˈʃalˠəd̪ˠəx,ˈʃalˠəd̪ˠəx,100,1.0
'd'fhulaing',,ˈd̪ˠʊlˠən̠ʲ, ˈd̪ˠʊl̪ˠən̠ʲ,d̪ˠ'ʊlˠəŋ,57,0.70
'mhóir',,woːɾʲ,ˈwóɾʲ,44,0.64
'inneach',,ˈin̠ʲəx,ˈɪnʲəx,63,0.73
'díolann',,ˈdʲiːlˠən̪ˠ, ˈdʲiːl̪ˠən̪ˠ,ˈdʲiːlˠən̪ˠ,100,1.0
'neodar',,ˈn̠ʲoːd̪ˠəɾˠ,ˈnʲoːd̪ˠəɾˠ,90,0.91
'seanóir',,ˈʃanˠoːɾʲ,ˈʃan̪ˠóɾʲ,68,0.76
'tnúth',,t̪ˠɾˠuː,t̪ˠɾˠuː,100,1.0
'thóir',,hoːɾʲ,ˈhóɾʲ,44,0.64
'croith',,kɾˠɔh,kɾˠɔç,77,0.82
'libh',,lʲɪbʲ, lʲɪvʲ,lʲəi,50,0.67
'chóir',,xoːɾʲ,ˈxóɾʲ,44,0.64
'glóire',,ˈɡlˠoːɾʲə,ˈɡlˠóɾʲə,81,0.84
'umhlú',,ˈuːlˠuː,ˈəulˠuː,72,0.79
'bríste',,ˈbʲɾʲiːʃtʲə,ˈbʲɾʲiːʃtʲə,100,1.0
'Fearghal',,ˈfʲaɾˠəlˠ,ˈfʲaɾˠɣəlˠ,88,0.89
'ceaptar',,ˈcapˠt̪ˠəɾˠ,ˈcapˠt̪ˠəɾˠ,100,1.0
'brocach',,ˈbˠɾˠokəx,ˈbˠɾˠɔkəx,86,0.88
'trácht',,t̪ˠɾˠɑːxt̪ˠ,t̪ˠɾˠɑːxt̪ˠ,100,1.0
'bró',,bˠɾˠoː,bˠɾˠoː,100,1.0
'tchím',,ˈtʲiːmˠ,tʲçiːmʲ,45,0.65
'beir',,bʲɛɾʲ,bʲɛɾʲ,100,1.0
'aeir',,eːɾʲ,ˈeːɾʲ,77,0.82
'stól',,sˠt̪ˠoːlˠ, sˠt̪ˠoːl̪ˠ,sˠt̪ˠoːlˠ,100,1.0
'fhiacha',,ˈiəxə,ˈiəxə,100,1.0
'bhfadhb',,wəibˠ,wəbˠ,85,0.88
'litir',,ˈl̠ʲɪtʲəɾʲ,ˈlʲɪtʲəɾʲ,88,0.90
'bíchearb',,ˈbʲiːçəɾˠəbˠ,ˈbʲiːçəɾˠbˠ,90,0.91
'-óidh',,oː(j),-ó,0,0.50
'salach',,ˈsˠaːl̪ˠəx,ˈsˠalˠəx,75,0.80
'salú',,ˈsˠal̪ˠuː,ˈsˠalˠuː,85,0.88
'Brian',,bʲɾʲiən̪ˠ,ˈbʲɾʲiən̪ˠ,88,0.89
'ngaiscíoch',,ˈŋaʃciːx,ˈŋaʃciː,91,0.92
'teir',,tʲɛɾʲ,tʲɛɾʲ,100,1.0
'bhfuilimid',,ˈwɪlʲəmʲədʲ,wˈɪlʲəmʲədʲ,88,0.90
'creid',,cɾʲɛdʲ,cɾʲɛdʲ,100,1.0
'buíocha',,ˈbˠiːxə,ˈbˠuiːxə,91,0.92
'galach',,ˈɡalˠəx,ˈɡalˠəx,100,1.0
'suigh',,sˠiː,sˠə,50,0.67
'Críostaí',,ˈcɾʲiːsˠt̪ˠiː,ˈcɾʲiːsˠt̪ˠiː,100,1.0
'falach',,ˈfˠalˠəx, ˈfˠal̪ˠəx,ˈfˠalˠəx,100,1.0
'tairbh',,ˈt̪ˠɑɾʲəvʲ,t̪ˠaɾʲvʲ,66,0.75
'traenálaí',,ˈt̪ˠɾˠeːnˠɑːlˠiː,ˈtʲɾʲeːn̪ˠɑːlˠiː,70,0.77
'crochta',,ˈkɾˠɔxt̪ˠə,ˈkɾˠɔxt̪ˠə,100,1.0
'choda',,ˈxɔd̪ˠə,ˈxɔd̪ˠə,100,1.0
'grian',,ɟɾʲiənˠ, ɟɾʲiən̪ˠ,ˈɟɾʲiən̪ˠ,87,0.89
'muine',,ˈmˠɪnʲə,ˈmˠɪnʲə,100,1.0
'cheada',,ˈçad̪ˠə,ˈçad̪ˠə,100,1.0
'seanmóirí',,ˈʃanˠəmoːɾʲiː, ˈʃan̪ˠəmoːɾʲiː,ˈʃan̪ˠmˠóɾʲiː,72,0.79
'cleasaí',,ˈclʲasˠiː,ˈclʲasˠiː,100,1.0
'lasta',,ˈl̪ˠasˠt̪ˠə,ˈlˠasˠt̪ˠə,88,0.90
'gasta',,ˈɡasˠt̪ˠə,ˈɡasˠt̪ˠə,100,1.0
'ndearna',,ˈn̠ʲɑːɾˠn̪ˠə,nʲˈaɾˠn̪ˠə,63,0.73
'ochtó',,ˈoxt̪ˠoː,ˈɔxt̪ˠoː,84,0.87
'dóim',,d̪ˠoːmʲ,ˈd̪ˠómʲ,58,0.71
'bhíteá',,ˈvʲiːtʲaː,ˈvʲiːtʲeɑː,81,0.84
'eisceacht',,ˈɛʃcəxt̪ˠ,ˈɛʃcəxt̪ˠ,100,1.0
'pasta',,ˈpˠasˠt̪ˠə,ˈpˠasˠt̪ˠə,100,1.0
'gheibh',,jɛvʲ,jɛvʲ,100,1.0
'damnaigh',,ˈd̪ˠamˠnˠiː, ˈd̪ˠamˠnˠə, ˈd̪ˠamˠn̪ˠiː, ˈd̪ˠamˠn̪ˠə,ˈd̪ˠamˠn̪ˠə,100,1.0
'achainí',,ˈaxənʲiː,ˈaxənʲiː,100,1.0
'aimsire',,ˈamʲʃəɾʲə,ˈamʲʃəɾʲə,100,1.0
'trian',,tʲɾʲiənˠ, tʲɾʲiən̪ˠ,ˈtʲɾʲiən̪ˠ,88,0.89
'srian',,ʃɾʲiən̪ˠ,ˈʃɾʲiən̪ˠ,87,0.89
'cé mhéad',,ceːˈvʲeːd̪ˠ,ˈceː vʲeːd̪ˠ,77,0.82
'feiceann',,ˈfʲɛcən̪ˠ,ˈfʲɛcən̪ˠ,100,1.0
'bainis',,ˈbanʲəʃ,ˈbˠanʲəʃ,84,0.87
'sócúl',,ˈsˠoːkuːlˠ, ˈsˠoːkuːl̪ˠ,ˈsˠoːkuːlˠ,100,1.0
'leiceann',,ˈl̠ʲɛcən̪ˠ,ˈlʲɛcən̪ˠ,88,0.89
'spáráil',,ˈsˠpˠɑːɾˠɑːlʲ,ˈsˠpˠɑːɾˠɑːlʲ,100,1.0
'gcreach',,ɟɾʲax,ɟɾʲax,100,1.0
'bacaí',,ˈbˠakiː,ˈbˠɪkiː,81,0.85
'buanfas',,ˈbˠuənˠfˠəsˠ,ˈbˠuən̪ˠfˠəsˠ,90,0.91
'iníon',,nʲiːnˠ, ˈinʲiːnʲ,ˈɪnʲiːnʲ,84,0.87
'duine',,ˈd̪ˠɪnʲə,ˈd̪ˠɪnʲə,100,1.0
'óltar',,ˈoːl̪ˠt̪ˠəɾˠ,ˈoːl̪ˠt̪ˠəɾˠ,100,1.0
'geit',,ɟɛtʲ,ɟɛtʲ,100,1.0
'bhuailte',,ˈwuəl̠ʲtʲə,ˈwuəl̪ʲtʲə,93,0.94
'dócúl',,ˈd̪ˠoːkuːlˠ, ˈd̪ˠoːkuːl̪ˠ,ˈd̪ˠoːkuːlˠ,100,1.0
'ómra',,ˈoːmˠɾˠə,ˈoːmˠɾˠə,100,1.0
'sean-',,ʃanˠ,ʃan̪ˠ,75,0.80
'scilling',,ˈʃcɪl̠ʲən̠ʲ,ˈʃcɪlʲəɲ,68,0.76
'chluais',,xlˠuəʃ, xl̪ˠuəʃ,ˈxlˠuəʃ,81,0.85
'bóín Dé',,ˈbˠoːiːnʲ ˈdʲeː,ˈbʲoːnʲ dʲeː,69,0.77
'Dún Dealgan',,ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ,ˈd̪ˠuːnʲ dʲalˠəɡən̪ˠ,76,0.81
'spréim',,sˠpʲɾʲeːmʲ,ʃpʲɾʲeːmʲ,81,0.84
'dtigh',,dʲiː,dʲɪ,50,0.67
'fortacht',,ˈfˠɔɾˠt̪əxt̪ˠ,ˈfˠɔɾˠt̪ˠəxt̪ˠ,91,0.92
'caobach',,ˈkiːbˠəx,ˈkiːbˠəx,100,1.0
'liopard',,ˈlʲi.pˠəɾˠdˠ,ˈlʲiəpˠəɾˠd̪ˠ,81,0.85
'comhionann',,ˈkuːˈaːn̪ˠən̪ˠ,ˈkɪiən̪ˠən̪ˠ,65,0.74
'anuas',,əˈn̪ˠuəsˠ,ˈan̪ˠuəsˠ,80,0.83
'pluid',,pˠlˠɪdʲ,pˠlˠʊd̪ˠ,53,0.68
'citeal',,ˈcɪtʲəlˠ,ˈcɪtʲəlˠ,100,1.0
'séú',,ˈʃeːuː,ˈʃéuː,70,0.77
'Úna',,ˈuːnˠə,ˈuːn̪ˠə,83,0.86
'meáití',,ˈmʲɑːtʲiː,ˈmʲeɑːtʲiː,93,0.94
'tochas',,ˈt̪ˠɔxəsˠ,ˈt̪ˠɔxəsˠ,100,1.0
'gair',,ɡɛɾʲ,ɡaɾʲ,75,0.80
'fair',,fˠaɾʲ,fˠaɾʲ,100,1.0
'mair',,mˠaɾʲ,mˠaɾʲ,100,1.0
'bhláth',,wlˠɑː, wl̪ˠɑː,wlˠɑː,100,1.0
'maíte',,ˈmˠiːtʲə,ˈmˠatʲə,76,0.81
'carbad',,ˈkaɾˠəbˠəd̪ˠ, ˈkɑɾˠəbˠəd̪ˠ,ˈkaɾˠəbˠəd̪ˠ,100,1.0
'scáth',,sˠkɑː,sˠkɑː,100,1.0
'mear',,mʲaɾˠ,mʲaɾˠ,100,1.0
'lear',,l̠ʲaɾˠ,lʲaɾˠ,80,0.83
'dá bhrí sin',,d̪ˠɑː ˈvʲɾʲiː ʃɪnʲ,ˈd̪ˠɑː vʲɾʲiː ʃɪnʲ,86,0.88
'slán',,sˠl̪ˠɑːnˠ,sˠlˠɑːn̪ˠ,73,0.79
'searbh',,ˈʃarˠuː,ʃaɾˠw,36,0.61
'cad é',,kəd̪ˠˈeː,ˈkadʲ eː,23,0.57
'ceirbreach',,ˈcɛɾʲəbʲɾʲəx,ˈcɛɾʲəbʲɾʲəx,100,1.0
'gobtha',,ˈɡɔpˠə,ˈɡɔbˠhə,83,0.86
'giolla',,ˈɟul̪ˠə, ˈɟɨl̪ˠə, ˈɟɯl̪ˠə,ˈɟiəlˠə,66,0.75
'deirfiúracha',,ˈdʲeɾʲəfʲəɾˠəxə,ˈdʲɛɾʲfʲuːɾˠəxə,73,0.79
'deinim',,ˈdʲɛnʲəmʲ, ˈdʲɛnʲɪmʲ, ˈdʲɪnʲəmʲ,ˈdʲɛnʲəmʲ,100,1.0
'uair',,uəɾʲ,ˈuəɾʲ,77,0.82
'tair',,t̪ˠaɾʲ,t̪ˠaɾʲ,100,1.0
'le chéile',,lʲə ˈçeːlʲə,lʲə ˈçeːlʲə,100,1.0
'aoil',,iːlʲ,iːlʲ,100,1.0
'thit',,hitʲ,hɪtʲ,66,0.75
'ríog',,ˈɾˠiːɡ,ɾʲiːc,45,0.65
'bog',,bˠɔɡ,bˠɔɡ,100,1.0
'cuidhil',,kiəlʲ, kiːlʲ,ˈkɪjəlʲ,54,0.69
'coil',,kɛlʲ,kɔlˠ,50,0.67
'gcoill',,ɡəil̠ʲ, ɡɞl̠ʲ,ɡɔlˠ,60,0.71
'-imid',,əmʲɪdʲ,-ˈɪmʲədʲ,61,0.72
'siolla',,ˈʃɪl̪ˠə,ˈʃiəlˠə,69,0.76
'h-Éirinn',,ˈheːɾʲən̠ʲ,h-ˈeːɾʲən̪ˠ,66,0.75
'sciorta',,ˈʃcɪɾˠt̪ˠə,ˈʃciəɾˠt̪ˠə,89,0.90
'láimh',,l̪ˠɑːvʲ, l̪ˠɑ̃ːvʲ,lˠáiiː,25,0.57
